Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
323	US001-10-7	US001	10	7	inv	ass map	control	18	23	10	20.6	35	
324	US001-1-1	US001	1	1	inv	ass map	control	16	23	19	22.5	6	
325	US001-12-2	US001	12	2	inv	mat fx	cut	8	40	23	0	0	
326	US001-2-1	US001	2	1	inv	ass map	control	19	25	11	24	6.7	
327	US001-2-3	US001	2	3	inv	mat fx	nut def	11	32	13	28.9	5.2	
328	US001-2-4	US001	2	4	inv	ass map	control	20	29	14	24.2	6.4	
329	US001-2-6	US001	2	6	inv	mat fx	cut	8	25	21	0	0	
330	US001-3-1	US001	3	1	inv	ass map	control	15	1	13	22.5	4	
331	US001-4-1	US001	4	1	inv	ass map	control	23	31	19	21.2	3.2	
332	US001-4-10	US001	4	10	inv	ass map	control	21	3	19	24.3	5.9	
333	US001-4-4	US001	4	4	inv	ass map	control	19	9	17	24.6	5.9	
334	US001-4-7	US001	4	7	inv	ass map	control	16	27	22	23.2	6.2	
335	US001-5-1	US001	5	1	inv	ass map	control	21	36	13	26.3	5.2	
336	US001-6-1	US001	6	1	inv	ass map	control	15	29	NA	NA	NA	
337	US001-6-2	US001	6	2	inv	ass map	control	21	1	12	21.8	5.3	
338	US001-6-3	US001	6	3	inv	mat fx	control	6	20	15	20.8	5.2	
339	US001-6-4	US001	6	4	inv	ass map	control	14	50	15	18	4.3	
340	US001-7-10	US001	7	10	inv	ass map	control	21	25	14	26.6	5.8	
341	US001-7-11	US001	7	11	inv	ass map	control	22	41	10	19.3	7.4	
342	US001-7-3	US001	7	3	inv	ass map	control	15	34	17	26.1	7.3	
343	US001-7-4	US001	7	4	inv	mat fx	control	7	23	NA	NA	NA	
344	US001-7-6	US001	7	6	inv	mat fx	nut def	11	29	13	20.4	3.6	
345	US001-7-7	US001	7	7	inv	mat fx	cut	8	1	11	0	0	
346	US001-8-2	US001	8	2	inv	mat fx	nut def	11	12	10	26.2	4	
347	US001-9-2	US001	9	2	inv	ass map	control	18	35	15	18.3	5.8	
348	US001-9-7	US001	9	7	inv	mat fx	control	6	43	11	19.7	3.8	
349	US002-1-1	US002	1	1	inv	ass map	control	23	9	47	16.5	4.2	
350	US002-2-1	US002	2	1	inv	ass map	control	17	10	15	13.6	2.1	
351	US002-2-2	US002	2	2	inv	ass map	control	20	23	17	19.9	6.1	
352	US002-3-1	US002	3	1	inv	ass map	control	15	15	13	27.3	7.5	
353	US002-3-10	US002	3	10	inv	ass map	control	14	9	11	21.7	5.6	
354	US002-3-11	US002	3	11	inv	ass map	control	21	38	19	22	3.8	
355	US002-3-12	US002	3	12	inv	ass map	control	16	32	11	21.5	4.9	
356	US002-3-13	US002	3	13	inv	ass map	control	17	38	13	19.2	5.3	
357	US002-3-14	US002	3	14	inv	ass map	control	12	36	21	30.1	5.7	
358	US002-3-15	US002	3	15	inv	ass map	control	13	50	16	18.8	1.5	
359	US002-3-16	US002	3	16	inv	ass map	control	23	47	16	22.4	5.8	
360	US002-3-17	US002	3	17	inv	ass map	control	19	23	13	26.4	7.6	
361	US002-3-18	US002	3	18	inv	mat fx	nut def	11	41	16	16.5	3.9	
362	US002-3-19	US002	3	19	inv	ass map	control	16	16	14	21.1	4.8	
363	US002-3-20	US002	3	20	inv	ass map	control	22	49	11	23.1	4.6	
364	US002-3-21	US002	3	21	inv	mat fx	control	6	38	10	22.1	6.5	
365	US002-3-23	US002	3	23	inv	mat fx	control	7	14	22	24	5.2	
366	US002-3-24	US002	3	24	inv	mat fx	control	6	36	27	23.5	5.4	
367	US002-3-25	US002	3	25	inv	mat fx	cut	8	5	12	0	0	
368	US002-3-26	US002	3	26	inv	ass map	control	15	12	15	22.8	6.1	
369	US002-3-27	US002	3	27	inv	ass map	control	12	18	11	26.7	6.9	
370	US002-3-28	US002	3	28	inv	ass map	control	13	15	14	20.8	6.7	
371	US002-3-3	US002	3	3	inv	mat fx	nut def	11	1	13	15.6	4.9	
372	US002-3-4	US002	3	4	inv	ass map	control	13	18	20	27.3	8.2	
373	US002-3-5	US002	3	5	inv	ass map	control	19	27	13	24.4	6.7	
374	US002-3-6	US002	3	6	inv	mat fx	cut	8	45	15	0	0	
375	US002-3-7	US002	3	7	inv	ass map	control	21	18	15	29.2	9.6	
376	US002-3-8	US002	3	8	inv	ass map	control	22	27	14	28.6	5.9	
377	US002-3-9	US002	3	9	inv	ass map	control	12	47	13	21.7	5.2	
378	US002-4-1	US002	4	1	inv	ass map	control	19	30	20	17.9	4.3	
379	US002-5-1	US002	5	1	inv	ass map	control	16	15	20	17.8	4.2	
380	US002-5-10	US002	5	10	inv	ass map	control	12	20	17	25.4	4.6	
381	US002-5-11	US002	5	11	inv	ass map	control	17	12	23	21.1	3.6	
382	US002-5-2	US002	5	2	inv	mat fx	cut	8	49	24	16.8	4.6	
383	US002-5-3	US002	5	3	inv	mat fx	control	6	49	21	0	0	
384	US002-5-5	US002	5	5	inv	mat fx	nut def	11	9	22	15.9	3.3	
385	US002-5-6	US002	5	6	inv	ass map	control	13	27	25	20.8	5	
386	US002-5-7	US002	5	7	inv	ass map	control	20	30	42	15.4	4.4	
387	US002-5-8	US002	5	8	inv	ass map	control	15	11	21	15.5	3.4	
388	US002-6-2	US002	6	2	inv	mat fx	control	7	40	11	15	2	
389	US002-6-4	US002	6	4	inv	mat fx	control	6	16	12	20.5	6.5	
390	US002-6-5	US002	6	5	inv	ass map	control	14	21	13	10.8	3	
391	US003-10-1	US003	10	1	inv	ass map	control	14	11	9	23	4	
392	US003-10-2	US003	10	2	inv	ass map	control	23	29	NA	NA	NA	
393	US003-11-1	US003	11	1	inv	mat fx	cut	8	3	7	0	0	0
394	US003-11-11	US003	11	11	inv	ass map	control	17	27	17	21.4	7.1	
395	US003-11-12	US003	11	12	inv	ass map	control	15	36	12	23.7	4.6	
396	US003-11-13	US003	11	13	inv	ass map	control	17	41	18	18.8	4.6	
397	US003-11-14	US003	11	14	inv	ass map	control	22	47	9	22.2	5.1	
398	US003-11-15	US003	11	15	inv	ass map	control	15	27	NA	NA	NA	
399	US003-11-3	US003	11	3	inv	ass map	control	21	35	18	24.5	4.7	
400	US003-11-4	US003	11	4	inv	ass map	control	17	18	16	22.5	3.2	
401	US003-11-5	US003	11	5	inv	ass map	control	20	8	16	22.2	5	
402	US003-11-6	US003	11	6	inv	ass map	control	13	47	13	21.3	5.7	
403	US003-11-7	US003	11	7	inv	ass map	control	12	8	17	23	3.5	
404	US003-11-8	US003	11	8	inv	ass map	control	12	35	17	20.9	6.4	
405	US003-12-1	US003	12	1	inv	ass map	control	18	41	13	19.7	6	
406	US003-12-2	US003	12	2	inv	ass map	control	22	5	17	19.2	5.4	
407	US003-12-3	US003	12	3	inv	mat fx	nut def	11	25	17	17.4	5.6	
408	US003-12-5	US003	12	5	inv	ass map	control	13	31	16	19.1	5.5	
409	US003-12-6	US003	12	6	inv	ass map	control	12	5	13	21.5	4	
410	US003-13-1	US003	13	1	inv	ass map	control	19	10	11	18.6	5.9	
411	US003-13-2	US003	13	2	inv	ass map	control	22	43	10	22.1	5.2	
412	US003-13-4	US003	13	4	inv	ass map	control	20	10	14	15.4	4.1	
413	US003-13-5	US003	13	5	inv	ass map	control	22	21	13	20.2	5.2	
414	US003-13-6	US003	13	6	inv	ass map	control	16	12	15	18.6	5.7	
415	US003-13-8	US003	13	8	inv	ass map	control	23	11	17	20.5	6.1	
416	US003-14-1	US003	14	1	inv	ass map	control	20	16	12	23	4.9	
417	US003-14-10	US003	14	10	inv	ass map	control	14	38	16	22.3	7.9	
418	US003-14-2	US003	14	2	inv	ass map	control	14	12	9	21.1	3.9	
419	US003-14-5	US003	14	5	inv	ass map	control	13	23	27	22	63	
420	US003-14-7	US003	14	7	inv	ass map	control	17	21	15	19	3.6	
421	US003-14-9	US003	14	9	inv	ass map	control	20	9	18	20.6	5.9	
422	US003-15-1	US003	15	1	inv	ass map	control	17	45	19	18.2	4.7	
423	US003-15-3	US003	15	3	inv	ass map	control	19	36	23	19.9	5.2	
424	US003-15-4	US003	15	4	inv	ass map	control	22	34	17	17.8	5.2	BLT 2
425	US003-15-5	US003	15	5	inv	ass map	control	21	12	NA	NA	NA	
426	US003-16-1	US003	16	1	inv	ass map	control	18	27	20	17.8	4	
427	US003-16-10	US003	16	10	inv	mat fx	nut def	11	50	13	17.8	4.4	
428	US003-16-11	US003	16	11	inv	mat fx	control	7	5	16	17.8	4.1	
429	US003-16-12	US003	16	12	inv	ass map	control	13	11	16	19.7	5.6	
430	US003-16-13	US003	16	13	inv	ass map	control	19	18	20	21.2	6.1	
431	US003-16-14	US003	16	14	inv	mat fx	cut	8	29	13	0	0	
432	US003-16-2	US003	16	2	inv	mat fx	cut	8	20	34	0	0	
433	US003-16-5	US003	16	5	inv	ass map	control	12	45	17	19	4.9	
434	US003-16-6	US003	16	6	inv	ass map	control	19	34	11	28.3	5.2	
435	US003-16-7	US003	16	7	inv	ass map	control	16	11	16	21.7	4.6	
436	US003-16-8	US003	16	8	inv	ass map	control	19	35	15	28.7	6.5	
437	US003-17-1	US003	17	1	inv	ass map	control	23	15	11	25	7.8	
438	US003-17-3	US003	17	3	inv	ass map	control	18	7	18	16	5.2	
439	US003-18-1	US003	18	1	inv	ass map	control	14	35	12	20.4	6.5	
440	US003-2-1	US003	2	1	inv	mat fx	control	7	32	15	21.3	7.2	
441	US003-2-2	US003	2	2	inv	ass map	control	22	14	33	20.7	6.2	
442	US003-3-1	US003	3	1	inv	ass map	control	15	30	NA	NA	NA	
443	US003-3-10	US003	3	10	inv	mat fx	control	6	10	18	15.1	3.8	
444	US003-3-11	US003	3	11	inv	ass map	control	16	25	16	25.3	7	
445	US003-3-12	US003	3	12	inv	ass map	control	23	10	21	15.4	4.8	
446	US003-3-13	US003	3	13	inv	ass map	control	20	49	14	19.9	4.3	
447	US003-3-14	US003	3	14	inv	ass map	control	16	20	14	17.4	4.7	
448	US003-3-15	US003	3	15	inv	ass map	control	13	29	15	21.7	5.5	
449	US003-3-16	US003	3	16	inv	ass map	control	16	43	11	17.6	4.1	
450	US003-3-17	US003	3	17	inv	ass map	control	20	45	12	19.3	6.2	
451	US003-3-18	US003	3	18	inv	ass map	control	20	36	20	21.5	5.7	
452	US003-3-19	US003	3	19	inv	ass map	control	18	1	13	18.5	4.6	
453	US003-3-2	US003	3	2	inv	ass map	control	17	34	21	26.9	5.5	
454	US003-3-21	US003	3	21	inv	ass map	control	21	31	15	18.4	4.2	
455	US003-3-22	US003	3	22	inv	ass map	control	22	15	20	27.3	6.7	
456	US003-3-4	US003	3	4	inv	ass map	control	12	10	13	15.3	3.3	
457	US003-3-5	US003	3	5	inv	ass map	control	19	50	12	16.1	4.3	
458	US003-3-7	US003	3	7	inv	ass map	control	16	49	18	19.6	5.9	
459	US003-3-8	US003	3	8	inv	ass map	control	18	15	22	18.5	5.1	
460	US003-3-9	US003	3	9	inv	ass map	control	21	49	16	17.7	4.5	
461	US003-4-1	US003	4	1	inv	ass map	control	16	41	14	19.7	4.6	
462	US003-4-2	US003	4	2	inv	ass map	control	17	35	14	20.3	4.2	
463	US003-4-4	US003	4	4	inv	ass map	control	13	21	16	19.6	4.7	
464	US003-5-1	US003	5	1	inv	ass map	control	14	41	12	22.2	4.5	
465	US003-5-2	US003	5	2	inv	mat fx	nut def	11	10	17	20.5	5.4	
466	US003-5-3	US003	5	3	inv	ass map	control	22	11	16	22.8	5.9	
467	US003-5-4	US003	5	4	inv	ass map	control	19	47	20	19.5	6.8	
468	US003-5-5	US003	5	5	inv	ass map	control	15	18	20	23.6	5.2	
469	US003-5-7	US003	5	7	inv	ass map	control	14	30	18	20.5	4.8	
470	US003-5-8	US003	5	8	inv	ass map	control	23	3	NA	NA	NA	
471	US003-6-1	US003	6	1	inv	ass map	control	14	1	20	18.8	2.6	
472	US003-6-3	US003	6	3	inv	ass map	control	17	49	21	17.4	4.9	
473	US003-7-1	US003	7	1	inv	ass map	control	22	10	13	23.9	5.2	
474	US003-7-10	US003	7	10	inv	ass map	control	21	41	11	21.1	5.2	
475	US003-7-11	US003	7	11	inv	ass map	control	14	16	15	22	5.2	
476	US003-7-13	US003	7	13	inv	ass map	control	13	35	9	27.4	7.8	
477	US003-7-2	US003	7	2	inv	ass map	control	23	7	13	22.3	8.2	
478	US003-7-3	US003	7	3	inv	ass map	control	16	47	12	21.3	4.5	
479	US003-7-4	US003	7	4	inv	mat fx	control	7	10	7	21.3	3.1	
480	US003-7-5	US003	7	5	inv	ass map	control	13	32	14	24.3	8.3	
481	US003-7-6	US003	7	6	inv	ass map	control	16	45	8	20.5	4.3	
482	US003-7-8	US003	7	8	inv	ass map	control	16	8	10	21	5.3	
483	US003-8-1	US003	8	1	inv	ass map	control	17	16	13	30.6	7.6	
484	US003-8-2	US003	8	2	inv	mat fx	control	6	50	18	13.2	4.8	
485	US003-8-4	US003	8	4	inv	ass map	control	12	27	18	26.1	8.4	
486	US003-8-5	US003	8	5	inv	ass map	control	21	32	23	22.2	5.2	
487	US003-8-6	US003	8	6	inv	ass map	control	20	5	13	14.1	4.4	
488	US003-8-7	US003	8	7	inv	ass map	control	20	20	22	18.7	4.1	
489	US003-9-1	US003	9	1	inv	ass map	control	17	7	21	20.9	4.9	
490	US003-9-10	US003	9	10	inv	ass map	control	14	36	13	27.9	4.2	
491	US003-9-3	US003	9	3	inv	ass map	control	15	41	13	20.4	6.7	
492	US003-9-4	US003	9	4	inv	ass map	control	18	21	15	22.1	6	
493	US003-9-5	US003	9	5	inv	ass map	control	12	49	12	23.4	3.6	
494	US003-9-6	US003	9	6	inv	ass map	control	13	1	11	20.7	5.8	
495	US003-9-7	US003	9	7	inv	mat fx	control	7	50	15	18.7	5.2	
496	US003-9-8	US003	9	8	inv	ass map	control	15	25	NA	NA	NA	
