Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
75	CA001-12-18	CA001	12	18	inv	ass map	control	19	41	9	21.5	4.3	
76	CA001-12-2	CA001	12	2	inv	ass map	control	17	14	10	27.4	4	
77	CA001-12-3	CA001	12	3	inv	ass map	control	21	27	20	24.6	4.6	
78	CA001-12-5	CA001	12	5	inv	ass map	control	18	14	14	21.7	4.2	
79	CA001-12-8	CA001	12	8	inv	ass map	control	12	30	14	24.4	3.8	
80	CA001-12-9	CA001	12	9	inv	ass map	control	13	25	17	25.4	4.4	
81	CA001-1-3	CA001	1	3	inv	ass map	control	23	14	9	29.3	6.2	
82	CA001-13-1	CA001	13	1	inv	mat fx	control	7	29	NA	NA	NA	
83	CA001-13-2	CA001	13	2	inv	ass map	control	16	5	9	17.4	3.8	
84	CA001-13-3	CA001	13	3	inv	ass map	control	22	3	14	21.1	3.5	
85	CA001-14-1	CA001	14	1	inv	mat fx	control	6	12	13	12.6	5	
86	CA001-15-1	CA001	15	1	inv	ass map	control	12	7	11	19.5	6	
87	CA001-15-2	CA001	15	2	inv	ass map	control	19	3	11	21.4	3.7	
88	CA001-15-3	CA001	15	3	inv	ass map	control	20	11	13	19.9	3.4	
89	CA001-15-4	CA001	15	4	inv	ass map	control	23	12	18	27.5	5.9	
90	CA001-15-5	CA001	15	5	inv	ass map	control	12	32	13	18.4	3.9	
91	CA001-15-6	CA001	15	6	inv	ass map	control	16	7	12	24	5.5	
92	CA001-15-7	CA001	15	7	inv	ass map	control	18	9	16	17.5	3.7	
93	CA001-16-1	CA001	16	1	inv	ass map	control	19	7	14	21.8	4.1	
94	CA001-16-2	CA001	16	2	inv	ass map	control	12	34	19	14	2.8	
95	CA001-16-3	CA001	16	3	inv	ass map	control	15	35	15	24.6	5.2	
96	CA001-16-4	CA001	16	4	inv	mat fx	cut	8	42	19	0	0	
97	CA001-16-6	CA001	16	6	inv	ass map	control	15	40	12	15.8	3.6	
98	CA001-16-7	CA001	16	7	inv	ass map	control	12	9	15	16.4	4.5	
99	CA001-16-8	CA001	16	8	inv	ass map	control	17	20	11	17.6	3.8	
100	CA001-17-1	CA001	17	1	inv	ass map	control	18	18	1	22.4	5	
101	CA001-17-10	CA001	17	10	inv	ass map	control	18	40	10	22.9	5.9	
102	CA001-17-11	CA001	17	11	inv	ass map	control	16	50	13	12.9	3.6	
103	CA001-17-12	CA001	17	12	inv	ass map	control	16	40	12	20.2	4.7	
104	CA001-17-2	CA001	17	2	inv	ass map	control	19	38	14	23	5.2	
105	CA001-17-3	CA001	17	3	inv	ass map	control	20	7	17	20.9	4.3	
106	CA001-17-4	CA001	17	4	inv	ass map	control	16	38	15	23.1	5.6	
107	CA001-17-5	CA001	17	5	inv	ass map	control	19	20	10	21.4	5.8	
108	CA001-17-6	CA001	17	6	inv	ass map	control	14	49	11	18.2	3.7	
109	CA001-17-7	CA001	17	7	inv	ass map	control	18	10	13	14.6	5.2	
110	CA001-17-8	CA001	17	8	inv	ass map	control	22	40	12	21.7	5.6	
111	CA001-17-9	CA001	17	9	inv	ass map	control	13	10	11	18.1	4.2	
112	CA001-18-2	CA001	18	2	inv	ass map	control	20	3	11	20	4.6	
113	CA001-19-1	CA001	19	1	inv	ass map	control	19	5	11	20	4.4	
114	CA001-19-2	CA001	19	2	inv	array	dna	14	14	6	22.9	7	
115	CA001-19-3	CA001	19	3	inv	ass map	control	13	43	9	19.7	6.6	
116	CA001-20-1	CA001	20	1	inv	ass map	control	17	50	13	14.7	3.8	
117	CA001-20-10	CA001	20	10	inv	ass map	control	16	3	10	19.5	5	
118	CA001-20-11	CA001	20	11	inv	ass map	control	13	12	18	21.2	5.1	
119	CA001-20-12	CA001	20	12	inv	ass map	control	12	15	17	0	0	
