PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
13	BG001	25	47	29	e	nat	cont	BG001.29.e	85	1	17	3.3	y	85	6.5	2.369	1.052	17	18.1	3.9	n	NA	11	10.4	2.5		69	NA	NA	NA	NA	NA	NA	69	1	27.5		NA			3.3166247903554	2.34180580614733	0.916290731874155	4.12310562561766	2.89591193827178	1.3609765531356	1	2.83321334405622	1.19392246847243	1.87180217690159	0.862467925176648	0.0506931143155182	56.1	4.02713581252865	43.3819444444444	28.4575	1
14	CA001	25	26	7	d	inv	cont	CA001.7.d	85	18	29	6.2	n	85	8.49	4.249	5.928	16	17.3	4.1	n	NA	12	14.2	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.65324196460721	1.43508452528932	4	2.85070650150373	1.41098697371026	4.24264068711928	3.36729582998647	1.82454929205105	2.13888900032326	1.44668366113267	1.77968688799379	179.8	5.19184512203752	49.0149388888889	-122.882097222222	0
15	CA001	30	45	4	g	inv	cont	CA001.4.g	86	9	37.6	7	n	86	8.04	2.456	1.651	15	19.5	2.8	y	NA	10	13.8	3.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.62466859216316	1.19392246847243	3.87298334620742	2.9704144655697	1.02961941718116	3	3.62700405039585	1.94591014905531	2.08442908319087	0.898534010284896	0.501381164937991	263.2	5.57291419945116	49.0149388888889	-122.882097222222	0
16	CA001	6	12	6	c	inv	cont	CA001.6.c	86	35	27.7	7.4	n	86	7.19	3.184	1.751	17	17.2	5.3	y	NA	13	16.9	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.82731362192903	1.6094379124341	4.12310562561766	2.84490938381941	1.66770682055808	5.91607978309962	3.32143241319329	2.00148000021012	1.97269117173296	1.15813826798214	0.560187053303715	204.98	5.32291241340342	49.0149388888889	-122.882097222222	0
17	CA001	18	10	2	b	inv	cont	CA001.2.b	85	27	20.9	5.6	n	85	7.71	4.212	6.41	19	17.3	3.9	y	NA	12	13.9	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.63188884013665	1.43508452528932	4.35889894354067	2.85070650150373	1.3609765531356	5.19615242270663	3.03974915897077	1.7227665977411	2.04251818757524	1.43793759427173	1.85785927093258	117.04	4.76251575671187	49.0149388888889	-122.882097222222	0
18	CA001	9	28	4	f	inv	cont	CA001.4.f	85	27	29.4	4.8	n	85	9.54	5.299	2.577	25	21.8	5.6	n	NA	14	10.9	2.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.3887627892351	1.02961941718116	5	3.08190996979504	1.7227665977411	5.19615242270663	3.38099467434464	1.56861591791385	2.2554934854602	1.66751812351063	0.946625931670228	141.12	4.94961059225848	49.0149388888889	-122.882097222222	0
19	CA001	29	19	4	a	inv	cont	CA001.4.a	85	32	25.5	5.5	n	85	8.39	3.988	3.236	15	26	4.9	n	NA	12	15.4	4.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.73436750941958	1.45861502269952	3.87298334620742	3.25809653802148	1.58923520511658	5.65685424949238	3.23867845216438	1.70474809223843	2.12704052047911	1.38328985209959	1.17433799919625	140.25	4.94342654440281	49.0149388888889	-122.882097222222	0
20	CA001	5	6	3	g	inv	cont	CA001.3.g	85	12	28.1	6	y	86	7.64	3.867	1.292	14	19.3	5.3	y	NA	11	11.9	3.4		85	NA	NA	NA	NA	NA	NA	85	NA	10.5		NA			3.3166247903554	2.47653840011748	1.22377543162212	3.74165738677394	2.96010509591084	1.66770682055808	3.46410161513775	3.3357695763397	1.79175946922805	2.03339760317843	1.35247901262516	0.25619140536041	168.6	5.12752904556775	49.0149388888889	-122.882097222222	1
21	CA001	40	29	7	h	inv	cont	CA001.7.h	84	28	21.8	4.9	n	84	8.72	5.503	12.814	NA	NA	NA	NA	NA	14	16.8	5.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.82137888640921	1.7227665977411	NA	NA	NA	5.29150262212918	3.08190996979504	1.58923520511658	2.16561923792089	1.70529339807762	2.55053832321683	106.82	4.67114517491162	49.0149388888889	-122.882097222222	0
22	CA001	34	42	6	e	inv	cont	CA001.6.e	84	23	24.5	5.5	n	84	8.21	3.346	2.346	15	18.2	4.9	y	NA	11	18	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.89037175789616	1.6094379124341	3.87298334620742	2.90142159408275	1.58923520511658	4.79583152331272	3.19867311755068	1.70474809223843	2.10535292346434	1.20776560256463	0.852711750231284	134.75	4.90342120978911	49.0149388888889	-122.882097222222	0
