Rack	Pos	Barcode	Origin	Exp	Trt	comment	PopID	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	comments	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	MsrHarvest	MassNotes	MsrHarvest3	Wilt	TotWilt	Yellow	Death	Float	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
15	6	29	BG001-8-1	nat	mat fx	control		BG001	8	1	0	0	0	y	1	39.5	39.5	NA	NA	NA	NA	NA	NA	194	LGT PRPL	0.95	6.468	2010-10-19	32	25.7	4.5	15	16.2	4.2			9/10/2010	10/19/2010	light purple		NA	30.457	10/19/2010	84	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	6	32	SAND-1-2	SK	mat fx	control		SAND	1	2	16	27.4	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	5.238	2010-10-19	17	22	6.9	14	21.5	7.6							0.201	23.716	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	6	34	GR002-1-2	nat	mat fx	control		GR002	1	2	8	26.5	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	4.238	2010-10-19	11	20.7	5.1	12	17.8	3.8			9/30/2010				0.138	33.106	10/19/2010	84	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	6	36	US002-3-24	inv	mat fx	control		US002	3	24	18	27.5	6.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	5.017	2010-10-19	27	23.5	5.4	20	16.8	3.5							0.222	40.231	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	6	38	US002-3-21	inv	mat fx	control		US002	3	21	10	29.1	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	3.458	2010-10-19	10	22.1	6.5	11	19.6	3.5							0.27	40.1	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	6	40	US001-10-3	inv	mat fx	control		US001	10	3	8	27.6	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.7	3.088	2010-10-19	10	18.9	5	15	21.3	3.9							0.177	32.59	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	6	41	GR002-9-4	nat	mat fx	control		GR002	9	4	15	23.6	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	3.371	2010-10-19	13	20.6	4.4	16	21.3	4.2							0.151	19.606	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	6	43	US001-9-7	inv	mat fx	control		US001	9	7	11	27.2	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	3.704	2010-10-19	11	19.7	3.8	15	19.9	3.7							0.257	40.578	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	6	45	US001-10-4	inv	mat fx	control		US001	10	4	13	23.2	5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	3.882	2010-10-19	10	16.7	5.2	14	15.5	3.8							0.221	37.256	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	6	47	RU008-8-2	nat	mat fx	control		RU008	8	2	8	20	5.2	y	1	21	21	NA	NA	NA	NA	NA	NA	6		0.9	NA	2010-10-19	17	19	7.1	13	19.5	4.7			9/30/2010				0.107	19.242	10/19/2010	84	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
