PopID	CrossID	CrossNum	SeedCount	GermCount	GermAvgDate	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	Origin	BegCrossDate	WtCount	TotSeedWt	SeedWt	GermPercent	Latitude	Longitude
1	BG001	BG001-1	1	2	2	2	29M	29	M	25L	25	L	nat	1/18/2010	2	0.0038	0.0019	100	43.3819444444444	28.4575
2	BG001	BG001-2	2	1	1	2	29M	29	M	25N	25	N	nat	1/14/2010	1	0.0014	0.0014	100	43.3819444444444	28.4575
3	BG001	BG001-3	3	4	4	3.5	16N	16	N	25L	25	L	nat	1/18/2010	2	0.0034	0.0017	100	43.3819444444444	28.4575
4	BG001	BG001-4	4	1	1	2	22N	22	N	25N	25	N	nat	1/21/2010	1	0.0018	0.0018	100	43.3819444444444	28.4575
5	BG001	BG001-5	5	6	6	2	22N	22	N	29M	29	M	nat	1/28/2010	6	0.0077	0.001283333	100	43.3819444444444	28.4575
6	BG001	BG001-6	6	6	4	2.5	22O	22	O	25L	25	L	nat	1/18/2010	6	0.0072	0.0012	66.6666666666667	43.3819444444444	28.4575
7	BG001	BG001-7	7	3	2	2	22O	22	O	17O	17	O	nat	1/25/2010	3	0.0041	0.001366667	66.6666666666667	43.3819444444444	28.4575
8	BG001	BG001-8	8	8	8	2	25L	25	L	16N	16	N	nat	1/21/2010	8	0.0082	0.001025	100	43.3819444444444	28.4575
9	BG001	BG001-9	9	12	12	2	25L	25	L	22N	22	N	nat	1/28/2010	12	0.0135	0.001125	100	43.3819444444444	28.4575
10	BG001	BG001-10	10	3	3	2	25L	25	L	17O	17	O	nat	1/14/2010	3	0.035	0.011666667	100	43.3819444444444	28.4575
11	BG001	BG001-11	11	3	3	2	25L	25	L	22O	22	O	nat	1/18/2010	3	0.0038	0.001266667	100	43.3819444444444	28.4575
12	BG001	BG001-12	12	4	0	NA	25N	25	N	29M	29	M	nat	1/14/2010	4	0.0017	0.000425	0	43.3819444444444	28.4575
13	BG001	BG001-13	13	2	1	2	25N	25	N	16M	16	M	nat	1/14/2010	2	0.0025	0.00125	50	43.3819444444444	28.4575
14	BG001	BG001-14	14	3	3	2	25N	25	N	17O	17	O	nat	1/14/2010	3	0.0052	0.001733333	100	43.3819444444444	28.4575
15	BG001	BG001-15	15	2	1	2	25L	25	L	17K	17	K	nat	1/14/2010	2	0.0021	0.00105	50	43.3819444444444	28.4575
16	BG001	BG001-16	16	2	1	2	17K	17	K	25N	25	N	nat	1/28/2010	2	0.0029	0.00145	50	43.3819444444444	28.4575
17	BG001	BG001-17	17	11	11	2.181818182	17K	17	K	16N	16	N	nat	1/18/2010	11	0.0146	0.001327273	100	43.3819444444444	28.4575
18	BG001	BG001-18	18	7	7	2	16A	16	A	25N	25	N	nat	1/17/2010	7	0.0109	0.001557143	100	43.3819444444444	28.4575
19	CA001	CA001-1	1	4	3	2.333333333	4L	4	L	3N	3	N	inv	1/27/2010	4	0.0075	0.001875	75	49.0149388888889	-122.882097222222
20	CA001	CA001-2	2	7	6	2.333333333	3O	3	O	7L	7	L	inv	1/20/2010	7	0.0131	0.001871429	85.7142857142857	49.0149388888889	-122.882097222222
21	CA001	CA001-3	3	19	19	2.684210526	3O	3	O	2M	2	M	inv	1/27/2010	17	0.0313	0.001841176	100	49.0149388888889	-122.882097222222
22	CA001	CA001-4	4	13	12	2.5	3O	3	O	2N	2	N	inv	1/14/2010	13	0.0228	0.001753846	92.3076923076923	49.0149388888889	-122.882097222222
23	CA001	CA001-5	5	24	24	2	3O	3	O	3N	3	N	inv	1/20/2010	24	0.0421	0.001754167	100	49.0149388888889	-122.882097222222
24	CA001	CA001-6	6	2	2	2	2M	2	M	7L	7	L	inv	3/7/2010	2	0.0037	0.00185	100	49.0149388888889	-122.882097222222
25	CA001	CA001-7	7	12	10	2.2	2M	2	M	3N	3	N	inv	1/20/2010	12	0.0198	0.00165	83.3333333333333	49.0149388888889	-122.882097222222
26	CA001	CA001-8	8	26	25	2.36	2M	2	M	3O	3	O	inv	1/14/2010	24	0.045	0.001875	96.1538461538462	49.0149388888889	-122.882097222222
27	CA001	CA001-9	9	33	30	2.133333333	2M	2	M	4L	4	L	inv	1/27/2010	33	0.0603	0.001827273	90.9090909090909	49.0149388888889	-122.882097222222
28	CA001	CA001-10	10	7	7	2.428571429	3N	3	N	7L	7	L	inv	3/17/2010	7	0.0133	0.0019	100	49.0149388888889	-122.882097222222
29	CA001	CA001-11	11	14	14	2.571428571	3N	3	N	2M	2	M	inv	1/20/2010	14	0.0237	0.001692857	100	49.0149388888889	-122.882097222222
