PopID	CrossNum	Rack	Pos	Barcode	Origin	Exp	Trt	Indiv	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	DeathDay	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	BoltDate	SLAmass.g	SLAarea	SLAdate	BoltDay	MsrHarvest3	comment	FlwrDate	FlwrCol	HBoltHt2	HarvNotes	HarvestDay	HBoltHt3	FlwrNote	sla	Crown.mmA	Mass.gA	Wilt	TotWilt	WiltDay	TotWiltDay	Float	YellowDay	FloatDay	Latitude	Longitude	lxw	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
14	BG001	17	19	16	BG001-17-3	nat	ass map	control	3	20	12.5	2.3		NA	NA	NA	25	25.1	4.8	y	1	23.3	23.3	12	1.1	3.302	2010-10-21	19	16.9	3.2	10/8/2010	0.123	23.753	10/14/2010	73	NA				NA		86	NA	NA	193.113821138211	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	28.75	17K	17	K	16N	16	N
15	BG001	17	16	36	BG001-17-6	nat	ass map	control	6	17	11.2	2.3		NA	NA	NA	21	21.1	3.8	n	NA	NA	NA	NA	0.95	3.2	2010-10-15	25	21	4.2		0.126	28.234	10/13/2010	NA	NA				NA		80	NA	NA	224.079365079365	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	25.76	17K	17	K	16N	16	N
16	BG001	17	11	7	BG001-17-8	nat	mat fx	nut def	8	15	12	2.2	NA	8/3/2010	NA	NA	16	12.1	3.2	n	NA	NA	NA	NA	0.7	1.565	2010-10-13	18	12.1	3.4		0.054	8.246	10/13/2010	NA	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	26.4	17K	17	K	16N	16	N
17	BG001	17	18	29	BG001-17-10	nat	ass map	control	10	19	10.3	3.1		NA	NA	NA	23	25	4.7	n	NA	NA	NA	NA	1.1	3.394	2010-10-20	27	21.2	5.4		0.103	15.924	10/18/2010	NA	NA				NA		85	NA	NA	154.601941747573	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	31.93	17K	17	K	16N	16	N
18	BG001	17	22	35	BG001-17-1	nat	ass map	control	1	18	12.5	3.1		NA	NA	NA	7	25.8	5.9	y	1	38.5	38.5	25	1.1	4.909	2010-10-21	23	16.7	3.9	9/30/2010	0.12	25.147	10/15/2010	65	NA				NA		86	NA	NA	209.558333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	38.75	17K	17	K	16N	16	N
19	BG001	18	6	3	BG001-18-6	nat	mat fx	control	6	18	12.1	3.5	NA	NA	NA	NA	4	23	5.3	y	1	26.3	26.3	30	0.9	3.316	2010-10-19	21	17.4	3.8	9/30/2010	NA	NA	10/19/2010	65	NA				NA		84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	42.35	16A	16	A	25N	25	N
20	BG001	18	14	29	BG001-18-7	nat	ass map	control	7	17	9.6	4.1		NA	NA	NA	22	20.7	4.9	y	1	9	9	NA	1	3.234	2010-10-19	21	18.5	3.7	10/19/2010	0.119	NA	10/14/2010	84	NA				NA		84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	39.36	16A	16	A	25N	25	N
21	BG001	18	15	49	BG001-18-3	nat	ass map	control	3	16	10.5	2.9		NA	NA	NA	0	NA	0	y	3	24.1	24.1	27	0.7	1.6	2010-10-21	15	10.9	3.1	9/16/2010	NA	NA	10/18/2010	51	NA				8.5		86	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	30.45	16A	16	A	25N	25	N
22	BG001	18	6	27	BG001-18-4	nat	mat fx	control	4	15	11	3.7	NA	NA	NA	NA	10	23.1	5.3	y	1	30.3	30.3	33	1.3	4.472	2010-10-19	20	20.1	4.9	9/30/2010	0.126	26.044	10/19/2010	65	NA				NA		84	NA	NA	206.698412698413	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	40.7	16A	16	A	25N	25	N
23	BG001	18	5	49	BG001-18-2	nat	mat fx	allo	2	17	12.3	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	0.94	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	43.05	16A	16	A	25N	25	N
