Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments
BG001-9-7	BG001-9-7	BG001	9	7	nat	ass map	control	22	8	14	17.5	4.1	
BG001-9-8	BG001-9-8	BG001	9	8	nat	ass map	control	13	16	16	12.6	4.4	
BG001-9-9	BG001-9-9	BG001	9	9	nat	ass map	control	19	31	10	11	3	
BG3-1-1	BG3-1-1	BG3	1	1	SK	ass map	control	22	36	10	11.6	4.3	
BG3-1-2	BG3-1-2	BG3	1	2	SK	ass map	control	17	30	9	17.5	4.6	
BG3-1-3	BG3-1-3	BG3	1	3	SK	ass map	control	18	30	11	3.6	4	
BG3-1-4	BG3-1-4	BG3	1	4	SK	ass map	control	17	9	14	16.5	3.7	
BG3-2-1	BG3-2-1	BG3	2	1	SK	ass map	control	13	38	9	14.2	4.3	
BG3-2-2	BG3-2-2	BG3	2	2	SK	ass map	control	15	8	7	20.2	6.1	
BG3-3-1	BG3-3-1	BG3	3	1	SK	ass map	control	14	32	9	10.4	3.6	
CA001-10-1	CA001-10-1	CA001	10	1	inv	ass map	control	13	3	6	17.7	2.9	
CA001-10-2	CA001-10-2	CA001	10	2	inv	ass map	control	14	15	11	18.6	4.3	
CA001-10-3	CA001-10-3	CA001	10	3	inv	ass map	control	23	40	7	23.5	5.5	
CA001-10-4	CA001-10-4	CA001	10	4	inv	array	dna	13	48	9	15	3.6	
CA001-10-5	CA001-10-5	CA001	10	5	inv	ass map	control	21	14	8	20.2	3.9	
CA001-10-6	CA001-10-6	CA001	10	6	inv	ass map	control	17	3	9	161	4.2	
CA001-10-7	CA001-10-7	CA001	10	7	inv	ass map	control	16	21	14	15.6	3	
CA001-1-1	CA001-1-1	CA001	1	1	inv	ass map	control	13	30	13	19.6	3.6	
CA001-11-1	CA001-11-1	CA001	11	1	inv	mat fx	cut	8	34	13	16	3.1	
CA001-11-10	CA001-11-10	CA001	11	10	inv	mat fx	allo	5	38	11	13.8	2.8	
CA001-11-11	CA001-11-11	CA001	11	11	inv	ass map	control	15	43	16	16.4	3.5	
CA001-11-2	CA001-11-2	CA001	11	2	inv	ass map	control	19	14	12	15	4	
CA001-11-3	CA001-11-3	CA001	11	3	inv	ass map	control	21	43	11	15.1	3.6	
CA001-11-4	CA001-11-4	CA001	11	4	inv	ass map	control	23	21	13	15.2	4.7	
CA001-11-5	CA001-11-5	CA001	11	5	inv	ass map	control	17	32	11	14.5	3.5	
CA001-11-6	CA001-11-6	CA001	11	6	inv	ass map	control	15	45	12	13.2	3.8	
CA001-11-7	CA001-11-7	CA001	11	7	inv	ass map	control	20	14	9	14.3	4.2	
CA001-11-8	CA001-11-8	CA001	11	8	inv	ass map	control	21	45	10	14.1	4.5	
CA001-11-9	CA001-11-9	CA001	11	9	inv	ass map	control	15	10	12	16.5	3.6	
CA001-1-2	CA001-1-2	CA001	1	2	inv	ass map	control	21	30	13	18.5	5.2	
CA001-12-1	CA001-12-1	CA001	12	1	inv	array	control 1	1	32	11	15.6	2.6	
CA001-12-10	CA001-12-10	CA001	12	10	inv	ass map	control	16	9	11	17.8	4.3	
CA001-12-11	CA001-12-11	CA001	12	11	inv	ass map	control	22	31	11	15.9	3.3	
CA001-12-12	CA001-12-12	CA001	12	12	inv	ass map	control	13	9	12	19	3.2	
CA001-12-13	CA001-12-13	CA001	12	13	inv	ass map	control	20	47	11	18.9	4.5	
CA001-12-14	CA001-12-14	CA001	12	14	inv	mat fx	nut def	11	20	10	17	3.4	
CA001-12-15	CA001-12-15	CA001	12	15	inv	ass map	control	21	11	9	17.9	4.1	
CA001-12-16	CA001-12-16	CA001	12	16	inv	ass map	control	19	49	11	20.6	3.2	
CA001-12-17	CA001-12-17	CA001	12	17	inv	ass map	control	23	35	12	17.4	3.9	
CA001-12-18	CA001-12-18	CA001	12	18	inv	ass map	control	19	41	10	15.6	3.2	
CA001-12-19	CA001-12-19	CA001	12	19	inv	array	drought 3	4	47	9	12.2	4	
CA001-12-2	CA001-12-2	CA001	12	2	inv	ass map	control	17	14	8	15.9	2.8	
CA001-12-3	CA001-12-3	CA001	12	3	inv	ass map	control	21	27	11	15.6	3.9	
CA001-12-4	CA001-12-4	CA001	12	4	inv	mat fx	flood	10	38	11	15.2	3.4	
CA001-12-5	CA001-12-5	CA001	12	5	inv	ass map	control	18	14	10	16	3.7	
CA001-12-6	CA001-12-6	CA001	12	6	inv	array	drought 3	4	7	12	13	3.6	
CA001-12-7	CA001-12-7	CA001	12	7	inv	array	drought 1	3	27	12	15.5	2.8	
CA001-12-8	CA001-12-8	CA001	12	8	inv	ass map	control	12	30	14	14.1	3.2	
CA001-12-9	CA001-12-9	CA001	12	9	inv	ass map	control	13	25	12	16.7	2.9	
CA001-1-3	CA001-1-3	CA001	1	3	inv	ass map	control	23	14	10	23	4.5	
CA001-13-1	CA001-13-1	CA001	13	1	inv	mat fx	control	7	29	10	21	4.3	
CA001-13-2	CA001-13-2	CA001	13	2	inv	ass map	control	16	5	8	15.1	3	
CA001-13-3	CA001-13-3	CA001	13	3	inv	ass map	control	22	3	8	13.3	2.6	
CA001-14-1	CA001-14-1	CA001	14	1	inv	mat fx	control	6	12	14	12.7	2.6	
CA001-15-1	CA001-15-1	CA001	15	1	inv	ass map	control	12	7	12	13.4	3.5	
CA001-15-2	CA001-15-2	CA001	15	2	inv	ass map	control	19	3	14	15.4	3.6	
CA001-15-3	CA001-15-3	CA001	15	3	inv	ass map	control	20	11	12	16.5	4.4	
CA001-15-4	CA001-15-4	CA001	15	4	inv	ass map	control	23	12	13	16.5	4.2	
CA001-15-5	CA001-15-5	CA001	15	5	inv	ass map	control	12	32	15	12.9	2.6	
CA001-15-6	CA001-15-6	CA001	15	6	inv	ass map	control	16	7	11	15.4	4.7	
CA001-15-7	CA001-15-7	CA001	15	7	inv	ass map	control	18	9	13	15.5	3.9	BLOTCHY LEAVES
CA001-16-1	CA001-16-1	CA001	16	1	inv	ass map	control	19	7	11	13	4.2	
CA001-16-2	CA001-16-2	CA001	16	2	inv	ass map	control	12	34	10	12.6	4.2	
CA001-16-3	CA001-16-3	CA001	16	3	inv	ass map	control	15	35	11	15.2	3.9	
CA001-16-4	CA001-16-4	CA001	16	4	inv	mat fx	cut	8	42	13	13.2	3.8	
CA001-16-5	CA001-16-5	CA001	16	5	inv	array	control 3	1	9	13	14.2	5	
CA001-16-6	CA001-16-6	CA001	16	6	inv	ass map	control	15	40	14	15.8	3.9	
CA001-16-7	CA001-16-7	CA001	16	7	inv	ass map	control	12	9	14	14.6	4.3	
CA001-16-8	CA001-16-8	CA001	16	8	inv	ass map	control	17	20	8	18	4.2	
CA001-16-9	CA001-16-9	CA001	16	9	inv	array	control 2	1	40	11	17	4.7	
CA001-17-1	CA001-17-1	CA001	17	1	inv	ass map	control	18	18	12	18.2	4.8	
CA001-17-10	CA001-17-10	CA001	17	10	inv	ass map	control	18	40	13	12.4	3.1	
CA001-17-11	CA001-17-11	CA001	17	11	inv	ass map	control	16	50	12	13.2	3.9	
CA001-17-12	CA001-17-12	CA001	17	12	inv	ass map	control	16	40	20	16.8	3.9	
CA001-17-2	CA001-17-2	CA001	17	2	inv	ass map	control	19	38	14	14.3	4.4	
CA001-17-3	CA001-17-3	CA001	17	3	inv	ass map	control	20	7	12	17.5	4.3	
CA001-17-4	CA001-17-4	CA001	17	4	inv	ass map	control	16	38	11	16.2	3.8	
CA001-17-5	CA001-17-5	CA001	17	5	inv	ass map	control	19	20	10	13.5	4.2	
CA001-17-6	CA001-17-6	CA001	17	6	inv	ass map	control	14	49	9	14.2	3.5	
CA001-17-7	CA001-17-7	CA001	17	7	inv	ass map	control	18	10	10	12.4	3.3	
CA001-17-8	CA001-17-8	CA001	17	8	inv	ass map	control	22	40	10	14	4.5	
CA001-17-9	CA001-17-9	CA001	17	9	inv	ass map	control	13	10	8	16.5	4.9	
CA001-18-1	CA001-18-1	CA001	18	1	inv	array	control 3	1	23	11	16.5	5.4	
CA001-18-2	CA001-18-2	CA001	18	2	inv	ass map	control	20	3	12	15.5	3.4	
CA001-19-1	CA001-19-1	CA001	19	1	inv	ass map	control	19	5	13	18.1	4.1	
CA001-19-2	CA001-19-2	CA001	19	2	inv	array	dna	14	14	9	21.8	4.1	
CA001-19-3	CA001-19-3	CA001	19	3	inv	ass map	control	13	43	9	16	3.7	
CA001-20-1	CA001-20-1	CA001	20	1	inv	ass map	control	17	50	12	14.2	3.9	
CA001-20-10	CA001-20-10	CA001	20	10	inv	ass map	control	16	3	14	13.7	3.3	
CA001-20-11	CA001-20-11	CA001	20	11	inv	ass map	control	13	12	15	13.3	3.8	
CA001-20-12	CA001-20-12	CA001	20	12	inv	ass map	control	12	15	13	14	3.5	
CA001-20-2	CA001-20-2	CA001	20	2	inv	array	control 2	1	27	12	15.1	4.2	
CA001-20-3	CA001-20-3	CA001	20	3	inv	ass map	control	20	18	16	12	3.1	
CA001-20-4	CA001-20-4	CA001	20	4	inv	ass map	control	19	8	14	14.4	3.5	
CA001-20-5	CA001-20-5	CA001	20	5	inv	ass map	control	17	25	12	12.7	3.6	
CA001-20-7	CA001-20-7	CA001	20	7	inv	ass map	control	22	7	15	12.1	3.5	
CA001-20-8	CA001-20-8	CA001	20	8	inv	ass map	control	22	12	14	11.6	3.7	
CA001-20-9	CA001-20-9	CA001	20	9	inv	ass map	control	18	20	14	11.9	3.6	
CA001-2-1	CA001-2-1	CA001	2	1	inv	mat fx	allo	5	47	15	12.9	4	
CA001-2-2	CA001-2-2	CA001	2	2	inv	ass map	control	20	32	22	19.6	4.7	
CA001-2-3	CA001-2-3	CA001	2	3	inv	ass map	control	13	45	24	23	6.3	
CA001-2-4	CA001-2-4	CA001	2	4	inv	ass map	control	15	23	16	20.3	5.8	
CA001-2-5	CA001-2-5	CA001	2	5	inv	ass map	control	19	21	15	17.8	6	
CA001-2-6	CA001-2-6	CA001	2	6	inv	ass map	control	20	27	8	21.1	6	
CA001-3-1	CA001-3-1	CA001	3	1	inv	ass map	control	18	8	10	21.2	5.3	
CA001-3-10	CA001-3-10	CA001	3	10	inv	array	control 2	1	41	15	19.7	4.6	
CA001-3-11	CA001-3-11	CA001	3	11	inv	ass map	control	20	21	11	20.7	4.2	
CA001-3-12	CA001-3-12	CA001	3	12	inv	ass map	control	13	20	14	14.7	4.4	
CA001-3-13	CA001-3-13	CA001	3	13	inv	ass map	control	21	50	12	12.8	2.6	
CA001-3-14	CA001-3-14	CA001	3	14	inv	ass map	control	16	34	12	18.1	4.4	
CA001-3-15	CA001-3-15	CA001	3	15	inv	ass map	control	23	36	13	19	5.5	
CA001-3-16	CA001-3-16	CA001	3	16	inv	array	drought 1	4	3	8	17.1	2.9	
CA001-3-17	CA001-3-17	CA001	3	17	inv	ass map	control	15	3	10	17.9	5	
CA001-3-18	CA001-3-18	CA001	3	18	inv	ass map	control	12	50	10	14.2	3.9	
CA001-3-19	CA001-3-19	CA001	3	19	inv	ass map	control	18	34	11	15.6	3.9	
CA001-3-2	CA001-3-2	CA001	3	2	inv	ass map	control	15	31	14	14.8	5	
CA001-3-3	CA001-3-3	CA001	3	3	inv	ass map	control	22	23	12	19.2	5.4	
CA001-3-4	CA001-3-4	CA001	3	4	inv	ass map	control	21	21	14	20.5	5.2	
CA001-3-5	CA001-3-5	CA001	3	5	inv	mat fx	drought	9	32	13	15.1	4.5	
CA001-3-6	CA001-3-6	CA001	3	6	inv	ass map	control	16	10	15	20	4.4	
CA001-3-7	CA001-3-7	CA001	3	7	inv	ass map	control	12	43	13	18.6	3.7	
CA001-3-8	CA001-3-8	CA001	3	8	inv	ass map	control	14	45	11	19	4.1	
CA001-3-9	CA001-3-9	CA001	3	9	inv	ass map	control	14	8	12	17	3.6	
CA001-4-1	CA001-4-1	CA001	4	1	inv	ass map	control	18	38	28	17.6	2.7	
CA001-4-10	CA001-4-10	CA001	4	10	inv	ass map	control	13	34	12	18.2	3.8	
CA001-4-11	CA001-4-11	CA001	4	11	inv	ass map	control	12	31	20	16.6	2.5	
CA001-4-12	CA001-4-12	CA001	4	12	inv	ass map	control	12	14	35	12	2.8	
CA001-4-2	CA001-4-2	CA001	4	2	inv	ass map	control	21	20	14	17.4	4.2	
CA001-4-3	CA001-4-3	CA001	4	3	inv	mat fx	drought	9	34	25	17.9	4	
CA001-4-4	CA001-4-4	CA001	4	4	inv	ass map	control	16	14	12	18.8	4.3	
CA001-4-5	CA001-4-5	CA001	4	5	inv	ass map	control	12	11	21	13.5	3.5	
CA001-4-6	CA001-4-6	CA001	4	6	inv	ass map	control	14	18	17	14.8	3.9	
CA001-4-7	CA001-4-7	CA001	4	7	inv	ass map	control	13	14	10	18.3	4.7	
CA001-4-8	CA001-4-8	CA001	4	8	inv	ass map	control	18	50	12	18.5	4.7	
CA001-4-9	CA001-4-9	CA001	4	9	inv	ass map	control	12	40	12	19.4	4.9	
CA001-5-1	CA001-5-1	CA001	5	1	inv	mat fx	flood	10	7	15	19.1	5	
CA001-5-10	CA001-5-10	CA001	5	10	inv	ass map	control	17	40	14	14.7	3.9	
CA001-5-11	CA001-5-11	CA001	5	11	inv	ass map	control	18	16	13	15.7	4.3	
CA001-5-12	CA001-5-12	CA001	5	12	inv	ass map	control	20	34	15	15.4	4	
CA001-5-13	CA001-5-13	CA001	5	13	inv	ass map	control	23	43	11	13.8	3.1	
CA001-5-14	CA001-5-14	CA001	5	14	inv	ass map	control	14	25	20	12.8	3.2	
CA001-5-15	CA001-5-15	CA001	5	15	inv	ass map	control	19	43	21	16	3.7	
CA001-5-16	CA001-5-16	CA001	5	16	inv	mat fx	allo	5	43	11	19.5	4.7	
CA001-5-17	CA001-5-17	CA001	5	17	inv	mat fx	nut def	11	40	15	16.5	4.8	
CA001-5-18	CA001-5-18	CA001	5	18	inv	ass map	control	22	9	11	17.6	5.5	
