Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	Crown.mmA	Mass.gA	LfCount1	LfLgth1	LfWdth1
BG001-14-3	BG001-14-3	BG001	14	3	nat	mat fx	allo	5	1	4.6	0.63	17	12.5	3.3
US002-5-12	US002-5-12	US002	5	12	inv	mat fx	allo	5	3	5.8	1.27	19	13	3.3
US001-10-2	US001-10-2	US001	10	2	inv	mat fx	allo	5	5	4.3	0.96	12	19.5	3.5
GR002-9-1	GR002-9-1	GR002	9	1	nat	mat fx	allo	5	7	5	0.92	14	14.5	3
SAND-1-7	SAND-1-7	SAND	1	7	SK	mat fx	allo	5	9	5.3	1.89	14	20.3	7
US003-9-2	US003-9-2	US003	9	2	inv	mat fx	allo	5	10	4.4	1.48	15	21.2	4
US003-13-7	US003-13-7	US003	13	7	inv	mat fx	allo	5	12	5.8	1.42	14	21.5	6
SAND-2-3	SAND-2-3	SAND	2	3	SK	mat fx	allo	5	14	4.8	1.83	18	22.2	10.7
US002-6-3	US002-6-3	US002	6	3	inv	mat fx	allo	5	16	5.3	0.84	17	13.9	3.1
TR001-6-2	TR001-6-2	TR001	6	2	nat	mat fx	allo	5	20	5.4	0.99	16	15	3.6
RU008-3-1	RU008-3-1	RU008	3	1	nat	mat fx	allo	5	21	5.1	0.96	15	15	3.8
US002-3-2	US002-3-2	US002	3	2	inv	mat fx	allo	5	23	5.8	1.54	13	20.5	5.2
SAND-3-6	SAND-3-6	SAND	3	6	SK	mat fx	allo	5	25	5	1.87	16	22	5.2
GR002-1-3	GR002-1-3	GR002	1	3	nat	mat fx	allo	5	27	5.2	0.81	12	19.7	3.4
RU008-8-6	RU008-8-6	RU008	8	6	nat	mat fx	allo	5	29	5.1	1.15	13	19.4	4.6
GR002-9-3	GR002-9-3	GR002	9	3	nat	mat fx	allo	5	32	4.7	0.88	16	15.9	3.4
BG001-17-7	BG001-17-7	BG001	17	7	nat	mat fx	allo	5	34	4.6	0.63	14	11.7	3.7
TR001-9-20	TR001-9-20	TR001	9	20	nat	mat fx	allo	5	36	4.2	0.8	16	17.1	5
CA001-11-10	CA001-11-10	CA001	11	10	inv	mat fx	allo	5	38	4.7	0.91	11	13.8	2.8
TR001-10-2	TR001-10-2	TR001	10	2	nat	mat fx	allo	5	40	5.2	0.95	14	7.9	3.6
US001-5-2	US001-5-2	US001	5	2	inv	mat fx	allo	5	41	3.6	0.95	14	18.5	3
CA001-5-16	CA001-5-16	CA001	5	16	inv	mat fx	allo	5	43	5	1.45	11	19.5	4.7
US001-7-1	US001-7-1	US001	7	1	inv	mat fx	allo	5	45	4.2	1.01	18	18.3	4.8
CA001-2-1	CA001-2-1	CA001	2	1	inv	mat fx	allo	5	47	4.7	1.68	15	12.9	4
BG001-18-2	BG001-18-2	BG001	18	2	nat	mat fx	allo	5	49	6.5	0.94	17	12.3	3.5
US003-14-6	US003-14-6	US003	14	6	inv	mat fx	allo	5	50	4.6	1.38	12	19	5.4
