PopID	Mom	Origin	Latitude	Longitude	Cross_MomID	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	SeedCount	Rack	Pos	Indiv	Trt	ID_barcode	LfCountH	BoltedatH	ShootMass.g	LfCount1	BoltDay.adj	lxwH	bolt.bin	pop_momfam	Exp	MomFam	CrossNum	MomIndiv	DadID	DadFam	DadIndiv	Generation
28	GR002	25	nat	40.6213888888889	23.0786111111111	GR002.25	3.23	13	87	2008	1	15	5	19	i	cont	GR002.25.i	19	n	2.839	12	NA	144.72	0	GR002_25	st	25	NA	NA	NA	NA	NA	0
29	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	25	23	a	cont	RU008.16.a	20	n	4.128	NA	NA	154.8	0	RU008_16	st	16	NA	NA	NA	NA	NA	0
30	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	5	22	f	cont	RU008.16.f	15	y	4.09	15	88	164.45	1	RU008_16	st	16	NA	NA	NA	NA	NA	0
31	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	29	12	b	cont	RU008.16.b	0	y	6.048	15	41	NA	1	RU008_16	st	16	NA	NA	NA	NA	NA	0
32	RU008	17	nat	44.05	43.06000278	RU008.17	3.36	14	93	2006	3	15	9	36	c	cont	RU008.17.c	17	n	3.068	10	NA	145.6	0	RU008_17	st	17	NA	NA	NA	NA	NA	0
33	RU008	21	nat	44.05	43.06000278	RU008.21	3.29	14	93	2006	3	15	34	4	e	cont	RU008.21.e	14	n	3.249	10	NA	252.72	0	RU008_21	st	21	NA	NA	NA	NA	NA	0
34	RU008	21	nat	44.05	43.06000278	RU008.21	3.29	14	93	2006	3	15	30	27	g	cont	RU008.21.g	23	n	3.687	14	NA	138.46	0	RU008_21	st	21	NA	NA	NA	NA	NA	0
35	TR001	1	nat	41.7511111111111	27.2477777777778	TR001.1	3.36	11	73	2008	1	15	12	7	d	cont	TR001.1.d	14	y	3.634	11	89	202.21	1	TR001_1	st	1	NA	NA	NA	NA	NA	0
36	TR001	10	nat	41.7511111111111	27.2477777777778	TR001.10	3	14	93	2008	1	15	30	46	b	cont	TR001.10.b	11	y	1.735	10	89	130.66	1	TR001_10	st	10	NA	NA	NA	NA	NA	0
37	TR001	10	nat	41.7511111111111	27.2477777777778	TR001.10	3	14	93	2008	1	15	40	14	f	cont	TR001.10.f	3	y	4.881	11	14	2.24	1	TR001_10	st	10	NA	NA	NA	NA	NA	0
38	TR001	10	nat	41.7511111111111	27.2477777777778	TR001.10	3	14	93	2008	1	15	7	47	j	cont	TR001.10.j	8	n	1.586	11	NA	45.18	0	TR001_10	st	10	NA	NA	NA	NA	NA	0
39	TR001	10	nat	41.7511111111111	27.2477777777778	TR001.10	3	14	93	2008	1	15	5	27	e	cont	TR001.10.e	18	n	2.9	8	NA	165.06	0	TR001_10	st	10	NA	NA	NA	NA	NA	0
40	TR001	12	nat	41.7511111111111	27.2477777777778	TR001.12	3.4	15	100	2008	1	15	34	15	f	cont	TR001.12.f	16	n	2.961	10	NA	157.14	0	TR001_12	st	12	NA	NA	NA	NA	NA	0
41	TR001	12	nat	41.7511111111111	27.2477777777778	TR001.12	3.4	15	100	2008	1	15	44	12	i	cont	TR001.12.i	14	n	2.166	11	NA	174	0	TR001_12	st	12	NA	NA	NA	NA	NA	0
42	TR001	12	nat	41.7511111111111	27.2477777777778	TR001.12	3.4	15	100	2008	1	15	24	37	d	cont	TR001.12.d	11	n	2.15	9	NA	190.74	0	TR001_12	st	12	NA	NA	NA	NA	NA	0
43	TR001	12	nat	41.7511111111111	27.2477777777778	TR001.12	3.4	15	100	2008	1	15	18	16	g	cont	TR001.12.g	17	y	2.687	14	88	212.39	1	TR001_12	st	12	NA	NA	NA	NA	NA	0
44	TR001	19	nat	41.7511111111111	27.2477777777778	TR001.19	5	14	88	2008	1	16	6	45	f	cont	TR001.19.f	4	y	2.154	9	72	79.38	1	TR001_19	st	19	NA	NA	NA	NA	NA	0
45	TR001	19	nat	41.7511111111111	27.2477777777778	TR001.19	5	14	88	2008	1	16	29	22	h	cont	TR001.19.h	0	y	3.678	8	21	NA	1	TR001_19	st	19	NA	NA	NA	NA	NA	0
46	US001	20	inv	45.6152333333333	-120.787533333333	US001.20	3.29	14	93	2008	1	15	5	45	b	cont	US001.20.b	12	n	2.441	9	NA	167.44	0	US001_20	st	20	NA	NA	NA	NA	NA	0
47	US001	20	inv	45.6152333333333	-120.787533333333	US001.20	3.29	14	93	2008	1	15	25	18	i	cont	US001.20.i	14	n	2.974	13	NA	152.36	0	US001_20	st	20	NA	NA	NA	NA	NA	0
48	US001	20	inv	45.6152333333333	-120.787533333333	US001.20	3.29	14	93	2008	1	15	30	15	h	cont	US001.20.h	21	n	4.274	13	NA	166.38	0	US001_20	st	20	NA	NA	NA	NA	NA	0
49	US001	20	inv	45.6152333333333	-120.787533333333	US001.20	3.29	14	93	2008	1	15	12	27	j	cont	US001.20.j	10	n	1.174	12	NA	91.02	0	US001_20	st	20	NA	NA	NA	NA	NA	0
50	US001	20	inv	45.6152333333333	-120.787533333333	US001.20	3.29	14	93	2008	1	15	7	41	c	cont	US001.20.c	12	n	1.978	10	NA	143.92	0	US001_20	st	20	NA	NA	NA	NA	NA	0
51	US001	22	inv	45.6152333333333	-120.787533333333	US001.22	3.13	15	100	2008	1	15	40	7	j	cont	US001.22.j	16	n	3.079	13	NA	169.56	0	US001_22	st	22	NA	NA	NA	NA	NA	0
52	US001	22	inv	45.6152333333333	-120.787533333333	US001.22	3.13	15	100	2008	1	15	29	34	c	cont	US001.22.c	11	n	4.372	14	NA	256.65	0	US001_22	st	22	NA	NA	NA	NA	NA	0
53	US001	22	inv	45.6152333333333	-120.787533333333	US001.22	3.13	15	100	2008	1	15	18	18	a	cont	US001.22.a	20	n	4.812	12	NA	143.52	0	US001_22	st	22	NA	NA	NA	NA	NA	0
54	US001	23	inv	45.6152333333333	-120.787533333333	US001.23	3.07	15	100	2008	1	15	6	48	c	cont	US001.23.c	13	n	3.188	8	NA	199.66	0	US001_23	st	23	NA	NA	NA	NA	NA	0
55	US001	23	inv	45.6152333333333	-120.787533333333	US001.23	3.07	15	100	2008	1	15	44	30	b	cont	US001.23.b	14	n	2.415	11	NA	184.11	0	US001_23	st	23	NA	NA	NA	NA	NA	0
56	US002	17	inv	46.1822666666667	-118.82615	US002.17	3.15	13	87	2008	1	15	18	33	a	cont	US002.17.a	17	n	3.789	14	NA	145.8	0	US002_17	st	17	NA	NA	NA	NA	NA	0
57	US002	17	inv	46.1822666666667	-118.82615	US002.17	3.15	13	87	2008	1	15	44	48	j	cont	US002.17.j	4	n	1.659	10	NA	183.86	0	US002_17	st	17	NA	NA	NA	NA	NA	0
58	US002	17	inv	46.1822666666667	-118.82615	US002.17	3.15	13	87	2008	1	15	5	41	i	cont	US002.17.i	15	n	3.004	12	NA	157.32	0	US002_17	st	17	NA	NA	NA	NA	NA	0
59	US002	17	inv	46.1822666666667	-118.82615	US002.17	3.15	13	87	2008	1	15	6	33	d	cont	US002.17.d	10	n	2.453	11	NA	165.2	0	US002_17	st	17	NA	NA	NA	NA	NA	0
