Rack	Pos	Barcode	Origin	Exp	Trt	comment	PopID	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay
28	7	3	TR001-9-18	nat	mat fx	control		TR001	9	18	12	21	3.4	n	NA	NA	NA	NA	NA		1	1.695	2010-10-21	86	10	16.5	3.7	13	17.5	3.3				0.129	18.893	10/18/2010	NA
29	7	5	US003-16-11	inv	mat fx	control		US003	16	11	NA	NA	NA	n	NA	NA	NA	NA	NA		NA	3.445	2010-10-21	86	16	17.8	4.1	14	18.4	4.1				0.122	17.082	10/18/2010	NA
30	7	7	US001-10-5	inv	mat fx	control		US001	10	5	15	21	2.5	n	NA	NA	NA	NA	NA		1	3.484	2010-10-21	86	9	16.2	3.8	12	16	3.5				0.194	25.093	10/18/2010	NA
31	7	9	TR001-3-1	nat	mat fx	control		TR001	3	1	16	22	3.1	n	NA	NA	NA	NA	NA		0.6	2.177	2010-10-21	86	12	18.2	3.1	12	14.8	2.9				0.108	14.419	10/18/2010	NA
32	7	10	US003-7-4	inv	mat fx	control		US003	7	4	17	18	3.1	n	NA	NA	NA	NA	NA		0.8	1.96	2010-10-21	86	7	21.3	3.1	11	21.9	5.1				0.132	13.089	10/18/2010	NA
33	7	12	CA001-8-24	inv	mat fx	control		CA001	8	24	23	20.4	3.4	n	NA	NA	NA	NA	NA		0.9	4.371	2010-10-21	86	15	18.9	4.6	13	16.2	3.6				0.173	NA	10/18/2010	NA
34	7	14	US002-3-23	inv	mat fx	control		US002	3	23	21	27	6.2	n	NA	NA	NA	NA	NA		0.7	3.701	2010-10-21	86	22	24	5.2	14	16.4	4.2				0.204	30.57	10/18/2010	NA
35	7	16	GR002-1-1	nat	mat fx	control		GR002	1	1	27	24.5	5.1	n	NA	NA	NA	NA	NA		0.9	3.468	2010-10-21	86	13	17.2	3.5	14	17.5	3.9				0.062	12.142	10/18/2010	NA
36	7	18	CA001-9-5	inv	mat fx	control		CA001	9	5	28	22.1	4.4	n	NA	NA	NA	NA	NA		1	4.041	2010-10-21	86	10	19.4	4	12	14.7	3.6				0.112	19.991	10/18/2010	NA
37	7	20	TR001-9-6	nat	mat fx	control		TR001	9	6	19	17.5	3.7	n	NA	NA	NA	NA	NA		0.7	1.9	2010-10-21	86	11	14.8	3.7	17	15.1	4.5				0.056	8.329	10/18/2010	NA
39	7	23	US001-7-4	inv	mat fx	control		US001	7	4	17	25.3	4.1	n	NA	NA	NA	NA	NA		0.8	3.756	2010-10-21	86	NA	NA	NA	16	20.9	4.8				0.161	27.146	10/18/2010	NA
40	7	25	GR002-10-4	nat	mat fx	control		GR002	10	4	24	19.5	6.5	n	NA	NA	NA	NA	NA		1.8	3.069	2010-10-21	86	NA	NA	NA	13	13.5	3.6				0.134	27.169	10/18/2010	NA
41	7	27	RU008-5-1	nat	mat fx	control		RU008	5	1	10	21.5	4.3	y	1	36	36	NA	62		0.7	5.523	2010-10-21	86	NA	NA	NA	25	16	4.2	9/30/2010			0.95	19.223	10/18/2010	65
42	7	29	CA001-13-1	inv	mat fx	control		CA001	13	1	22	26	3.8	n	NA	NA	NA	NA	NA		0.5	3.77	2010-10-21	86	NA	NA	NA	10	21	4.3				0.117	16.606	10/18/2010	NA
43	7	32	US003-2-1	inv	mat fx	control		US003	2	1	18	25	4.1	n	NA	NA	NA	NA	NA		0.8	3.215	2010-10-21	86	15	21.3	7.2	13	17.5	4.2				0.148	21.693	10/18/2010	NA
45	7	36	TR001-9-9	nat	mat fx	control	BLT 29.7	TR001	9	9	0	0	0	y	1	37.1	37.1	NA	71	FLR WHITE	0.5	2.697	2010-10-21	86	12	16.3	3	16	16.1	2.5	8/9/2010	9/16/2010	white	NA	NA	NA	13
46	7	38	RU008-5-9	nat	mat fx	control		RU008	5	9	12	18	2.5	y	1	41.6	41.6	NA	50		1.1	4.146	2010-10-21	86	11	16.7	3.2	18	17.6	3.2	9/30/2010			0.072	18.968	10/18/2010	65
47	7	40	US002-6-2	inv	mat fx	control		US002	6	2	0	0	0	y	2	33.3	33.3	25.8	64		1	4.126	2010-10-21	86	11	15	2	14	12	2.5	9/16/2010			NA	NA	10/18/2010	51
49	7	43	GR002-6-1	nat	mat fx	control		GR002	6	1	35	22.6	3.1	n	NA	NA	NA	NA	NA		1	4.044	2010-10-21	86	18	16	4.6	20	15.9	5.2				0.149	22.874	10/18/2010	NA
51	7	47	GR002-3-2	nat	mat fx	control		GR002	3	2	18	22.4	3.6	n	NA	NA	NA	NA	NA		1	2.67	2010-10-21	86	7	15.2	2.1	14	15.5	3.7				0.156	21.326	10/18/2010	NA
52	7	49	TR001-9-23	nat	mat fx	control		TR001	9	23	21	14.6	3.5	y	1	33.1	33.1	NA	NA		0.8	2.954	2010-10-21	86	13	14.7	2.8	15	15.9	2.9	9/30/2010			0.064	7.922	10/18/2010	65
53	7	50	US003-9-7	inv	mat fx	control		US003	9	7	14	16	4.1	n	NA	NA	NA	NA	NA		1	2.035	2010-10-21	86	15	18.7	5.2	23	18.6	4.9				0.056	8.95	10/18/2010	NA
