Barcode	Origin	Exp	Trt	Rack	Pos	SLAmass.g	SLAarea	comment	SLAdate
CA001-5-11	CA001-5-11	inv	ass map	control	18	16	0.206	32.397		10/18/2010
CA001-5-21	CA001-5-21	inv	ass map	control	18	36	0.158	25.241		10/18/2010
CA001-5-3	CA001-5-3	inv	ass map	control	18	32	0.227	28.227		10/18/2010
CA001-7-3	CA001-7-3	inv	ass map	control	18	49	0.17	23.799		10/18/2010
CA001-9-11	CA001-9-11	inv	ass map	control	18	5	0.145	23.941		10/18/2010
CA001-9-30	CA001-9-30	inv	ass map	control	18	43	0.268	38.17		10/18/2010
SERG-1-5	SERG-1-5	SK	array	dna	18	11	NA	NA		10/18/2010
SERG-3-4	SERG-3-4	SK	ass map	control	18	45	NA	NA		10/18/2010
TR001-9-11	TR001-9-11	nat	ass map	control	18	25	0.196	26.84		10/18/2010
US001-10-7	US001-10-7	inv	ass map	control	18	23	0.191	33.105		10/18/2010
US001-9-2	US001-9-2	inv	ass map	control	18	35	0.152	30.527		10/18/2010
US003-12-1	US003-12-1	inv	ass map	control	18	41	0.072	11.614		10/18/2010
US003-16-1	US003-16-1	inv	ass map	control	18	27	0.185	27.298		10/18/2010
US003-17-3	US003-17-3	inv	ass map	control	18	7	0.101	15.383		10/18/2010
US003-3-19	US003-3-19	inv	ass map	control	18	1	0.168	NA		10/18/2010
US003-3-8	US003-3-8	inv	ass map	control	18	15	0.158	27.754		10/18/2010
US003-9-4	US003-9-4	inv	ass map	control	18	21	0.174	30.16		10/18/2010
BG001-1-1	BG001-1-1	nat	ass map	control	19	45	NA	NA		10/14/2010
BG001-17-3	BG001-17-3	nat	ass map	control	19	16	0.123	23.753		10/14/2010
BG001-18-5	BG001-18-5	nat	array	dna	19	48	NA	NA		10/14/2010
BG001-6-3	BG001-6-3	nat	ass map	control	19	12	0.126	21.565		10/14/2010
BG001-9-9	BG001-9-9	nat	ass map	control	19	31	NA	NA		10/14/2010
CA001-11-2	CA001-11-2	inv	ass map	control	19	14	0.248	NA		10/14/2010
CA001-12-16	CA001-12-16	inv	ass map	control	19	49	0.185	22.755		10/14/2010
CA001-12-18	CA001-12-18	inv	ass map	control	19	41	0.16	18.323		10/14/2010
CA001-15-2	CA001-15-2	inv	ass map	control	19	3	0.134	NA		10/14/2010
CA001-16-1	CA001-16-1	inv	ass map	control	19	7	0.14	25.65		10/14/2010
CA001-17-2	CA001-17-2	inv	ass map	control	19	38	0.255	37.757		10/14/2010
CA001-17-5	CA001-17-5	inv	ass map	control	19	20	0.154	20.503		10/14/2010
CA001-19-1	CA001-19-1	inv	ass map	control	19	5	0.15	NA		10/14/2010
CA001-20-4	CA001-20-4	inv	ass map	control	19	8	0.189	NA		10/14/2010
CA001-2-5	CA001-2-5	inv	ass map	control	19	21	0.165	20.899		10/14/2010
CA001-5-15	CA001-5-15	inv	ass map	control	19	43	0.112	11.421		10/14/2010
CA001-5-19	CA001-5-19	inv	ass map	control	19	11	0.129	NA		10/14/2010
CA001-8-17	CA001-8-17	inv	ass map	control	19	29	0.084	17.855		10/14/2010
CA001-8-22	CA001-8-22	inv	ass map	control	19	40	0.15	23.792		10/14/2010
CA001-8-23	CA001-8-23	inv	ass map	control	19	1	0.135	28.41		10/14/2010
CA001-9-19	CA001-9-19	inv	ass map	control	19	32	0.092	14.059		10/14/2010
SERG-1-1	SERG-1-1	SK	ass map	control	19	15	0.026	NA		10/14/2010
US001-2-1	US001-2-1	inv	ass map	control	19	25	0.3	50.964		10/14/2010
US001-4-4	US001-4-4	inv	ass map	control	19	9	0.216	42.4		10/14/2010
US002-3-17	US002-3-17	inv	ass map	control	19	23	0.206	35.153		10/14/2010
US002-3-5	US002-3-5	inv	ass map	control	19	27	0.186	30.204		10/14/2010
US002-4-1	US002-4-1	inv	ass map	control	19	30	0.132	24.098		10/14/2010
US003-13-1	US003-13-1	inv	ass map	control	19	10	0.126	19.103		10/14/2010
US003-15-3	US003-15-3	inv	ass map	control	19	36	0.113	16.14	handwritten	10/14/2010
US003-16-13	US003-16-13	inv	ass map	control	19	18	NA	NA		10/14/2010
US003-16-6	US003-16-6	inv	ass map	control	19	34	NA	NA		10/14/2010
US003-16-8	US003-16-8	inv	ass map	control	19	35	0.171	27.579		10/14/2010
US003-3-5	US003-3-5	inv	ass map	control	19	50	0.137	18.9		10/14/2010
US003-5-4	US003-5-4	inv	ass map	control	19	47	0.062	NA		10/14/2010
US003-6-16	US003-6-16	inv	ass map	control	19	34	0.31	40.3		10/14/2010
BG001-11-2	BG001-11-2	nat	ass map	control	20	38	NA	NA		10/15/2010
CA001-11-7	CA001-11-7	inv	ass map	control	20	14	0.275	43.432		10/15/2010
CA001-12-13	CA001-12-13	inv	ass map	control	20	47	0.177	19.798		10/15/2010
CA001-15-3	CA001-15-3	inv	ass map	control	20	11	0.148	20.815		10/15/2010
CA001-17-3	CA001-17-3	inv	ass map	control	20	7	0.118	19.484		10/15/2010
CA001-18-2	CA001-18-2	inv	ass map	control	20	3	0.124	21.504		10/15/2010
CA001-20-3	CA001-20-3	inv	ass map	control	20	18	0.186	31.13		10/15/2010
CA001-2-2	CA001-2-2	inv	ass map	control	20	32	0.127	23.357		10/15/2010
CA001-2-6	CA001-2-6	inv	ass map	control	20	27	NA	NA		10/15/2010
CA001-3-11	CA001-3-11	inv	ass map	control	20	21	0.146	23.461		10/15/2010
CA001-5-12	CA001-5-12	inv	ass map	control	20	34	0.156	25.964		10/15/2010
CA001-5-5	CA001-5-5	inv	ass map	control	20	31	0.156	17.816		10/15/2010
CA001-7-4	CA001-7-4	inv	ass map	control	20	25	0.203	30.662		10/15/2010
CA001-7-7	CA001-7-7	inv	ass map	control	20	41	0.103	15.482		10/15/2010
CA001-8-15	CA001-8-15	inv	ass map	control	20	50	0.158	24.159		10/15/2010
CA001-9-25	CA001-9-25	inv	ass map	control	20	35	0.172	25.403		10/15/2010
GR002-10-2	GR002-10-2	nat	ass map	control	20	43	0.102	18.22		10/15/2010
SERG-1-6	SERG-1-6	SK	ass map	control	20	15	NA	NA		10/15/2010
SERG-3-3	SERG-3-3	SK	ass map	control	20	12	NA	NA		10/15/2010
TR001-7-1	TR001-7-1	nat	ass map	control	20	1	0.118	21.236		10/15/2010
US001-2-4	US001-2-4	inv	ass map	control	20	29	0.2	33.337		10/15/2010
US002-2-2	US002-2-2	inv	ass map	control	20	23	0.193	32.695		10/15/2010
US002-5-7	US002-5-7	inv	ass map	control	20	30	0.073	16.381		10/15/2010
US003-11-5	US003-11-5	inv	ass map	control	20	8	0.119	23.96		10/15/2010
US003-13-4	US003-13-4	inv	ass map	control	20	10	0.126	23.244		10/15/2010
US003-14-1	US003-14-1	inv	ass map	control	20	16	0.187	NA		10/15/2010
US003-14-9	US003-14-9	inv	ass map	control	20	9	0.066	15.592		10/15/2010
US003-3-13	US003-3-13	inv	ass map	control	20	49	0.192	18.058		10/15/2010
US003-3-17	US003-3-17	inv	ass map	control	20	45	0.117	20.067		10/15/2010
US003-3-18	US003-3-18	inv	ass map	control	20	36	0.187	34.093		10/15/2010
US003-8-6	US003-8-6	inv	ass map	control	20	5	NA	NA		10/15/2010
US003-8-7	US003-8-7	inv	ass map	control	20	20	0.141	22.712		10/15/2010
BG001-9-6	BG001-9-6	nat	ass map	control	21	47	NA	NA		10/14/2010
CA001-10-5	CA001-10-5	inv	ass map	control	21	14	0.223	31.916		10/14/2010
CA001-11-3	CA001-11-3	inv	ass map	control	21	43	0.135	26.005		10/14/2010
CA001-11-8	CA001-11-8	inv	ass map	control	21	45	0.119	19.98		10/14/2010
CA001-1-2	CA001-1-2	inv	ass map	control	21	30	0.167	10.44		10/14/2010
CA001-12-15	CA001-12-15	inv	ass map	control	21	11	0.201	32.022		10/14/2010
CA001-12-3	CA001-12-3	inv	ass map	control	21	27	0.161	NA		10/14/2010
CA001-3-13	CA001-3-13	inv	ass map	control	21	50	NA	NA		10/14/2010
CA001-3-4	CA001-3-4	inv	ass map	control	21	21	0.205	30.059		10/14/2010
CA001-4-2	CA001-4-2	inv	ass map	control	21	20	0.148	NA		10/14/2010
CA001-5-2	CA001-5-2	inv	ass map	control	21	23	0.127	34.21		10/14/2010
CA001-5-7	CA001-5-7	inv	ass map	control	21	16	NA	27.959		10/14/2010
CA001-7-6	CA001-7-6	inv	ass map	control	21	9	0.14	18.152		10/14/2010
CA001-7-9	CA001-7-9	inv	ass map	control	21	34	151	29.3		10/14/2010
CA001-9-12	CA001-9-12	inv	ass map	control	21	40	0.209	NA		10/14/2010
CA001-9-20	CA001-9-20	inv	ass map	control	21	29	0.228	NA		10/14/2010
CA001-9-7	CA001-9-7	inv	ass map	control	21	7	0.163	22.417		10/14/2010
CA001-9-9	CA001-9-9	inv	ass map	control	21	15	0.231	36.428		10/14/2010
SERG-3-5	SERG-3-5	SK	ass map	control	21	5	0.047	NA		10/14/2010
SERG-3-6	SERG-3-6	SK	ass map	control	21	8	NA	NA		10/14/2010
TR001-9-4	TR001-9-4	nat	ass map	control	21	10	0.129	23.725		10/14/2010
US001-4-10	US001-4-10	inv	ass map	control	21	3	0.189	32.772		10/14/2010
US001-5-1	US001-5-1	inv	ass map	control	21	36	0.153	34.93		10/14/2010
US001-6-2	US001-6-2	inv	ass map	control	21	1	0.134	27.937		10/14/2010
US001-7-10	US001-7-10	inv	ass map	control	21	25	0.161	NA		10/14/2010
US002-3-11	US002-3-11	inv	ass map	control	21	38	0.184	36.691		10/14/2010
US002-3-7	US002-3-7	inv	ass map	control	21	18	0.227	NA		10/14/2010
US003-11-3	US003-11-3	inv	ass map	control	21	35	0.091	NA		10/14/2010
US003-15-5	US003-15-5	inv	ass map	control	21	12	0.088	18.255		10/14/2010
US003-3-21	US003-3-21	inv	ass map	control	21	31	0.205	33.856		10/14/2010
US003-3-9	US003-3-9	inv	ass map	control	21	49	0.181	25.127		10/14/2010
US003-7-10	US003-7-10	inv	ass map	control	21	41	0.085	NA		10/14/2010
US003-8-5	US003-8-5	inv	ass map	control	21	32	0.131	19.766		10/14/2010
BG001-17-1	BG001-17-1	nat	ass map	control	22	35	0.12	25.147		10/15/2010
BG001-8-2	BG001-8-2	nat	ass map	control	22	18	NA	NA		10/15/2010
BG001-9-7	BG001-9-7	nat	ass map	control	22	8	0.133	NA		10/15/2010
BG3-1-1	BG3-1-1	SK	ass map	control	22	36	0.336	65.972		10/15/2010
CA001-12-11	CA001-12-11	inv	ass map	control	22	31	0.163	22.643		10/15/2010
CA001-13-3	CA001-13-3	inv	ass map	control	22	3	0.178	17.215		10/15/2010
CA001-17-8	CA001-17-8	inv	ass map	control	22	40	0.269	39.168		10/15/2010
CA001-20-6	CA001-20-6	inv	ass map	control	22	30	0.193	29.569		10/15/2010
CA001-20-7	CA001-20-7	inv	ass map	control	22	7	0.18	26.369		10/15/2010
CA001-20-8	CA001-20-8	inv	ass map	control	22	12	0.186	33.399		10/15/2010
CA001-3-3	CA001-3-3	inv	ass map	control	22	23	0.214	28.826		10/15/2010
CA001-5-18	CA001-5-18	inv	ass map	control	22	9	0.218	34.583		10/15/2010
CA001-5-4	CA001-5-4	inv	ass map	control	22	50	0.146	25.985		10/15/2010
CA001-8-3	CA001-8-3	inv	ass map	control	22	1	0.082	11.654		10/15/2010
CA001-8-5	CA001-8-5	inv	ass map	control	22	20	0.144	27.54		10/15/2010
CA001-8-7	CA001-8-7	inv	ass map	control	22	45	0.134	26.235		10/15/2010
CA001-9-10	CA001-9-10	inv	ass map	control	22	25	0.258	38.163		10/15/2010
SERG-2-3	SERG-2-3	SK	ass map	control	22	16	NA	NA		10/15/2010
SERG-2-9	SERG-2-9	SK	ass map	control	22	38	0.158	NA		10/15/2010
SERG-3-2	SERG-3-2	SK	ass map	control	22	32	NA	NA		10/15/2010
US001-10-1	US001-10-1	inv	ass map	control	22	29	0.198	35.402		10/15/2010
US001-7-11	US001-7-11	inv	ass map	control	22	41	0.181	NA		10/15/2010
US002-3-20	US002-3-20	inv	ass map	control	22	49	0.249	27.981		10/15/2010
US002-3-8	US002-3-8	inv	ass map	control	22	27	0.316	42.723		10/15/2010
US003-11-14	US003-11-14	inv	ass map	control	22	47	0.227	30.435		10/15/2010
US003-12-2	US003-12-2	inv	ass map	control	22	5	0.108	28.307		10/15/2010
US003-13-2	US003-13-2	inv	ass map	control	22	43	NA	NA		10/15/2010
US003-13-5	US003-13-5	inv	ass map	control	22	21	0.174	27.074		10/15/2010
US003-15-4	US003-15-4	inv	ass map	control	22	34	NA	NA		10/15/2010
US003-2-2	US003-2-2	inv	ass map	control	22	14	0.175	20.446		10/15/2010
US003-3-22	US003-3-22	inv	ass map	control	22	15	0.244	33.827		10/15/2010
US003-5-3	US003-5-3	inv	ass map	control	22	11	0.133	24.947		10/15/2010
US003-7-1	US003-7-1	inv	ass map	control	22	10	0.094	NA		10/15/2010
BG001-9-12	BG001-9-12	nat	ass map	control	23	5	0.087	24.436		10/19/2010
CA001-10-3	CA001-10-3	inv	ass map	control	23	40	0.217	29.486		10/19/2010
CA001-11-4	CA001-11-4	inv	ass map	control	23	21	0.134	NA		10/19/2010
CA001-12-17	CA001-12-17	inv	ass map	control	23	35	0.155	26.702		10/19/2010
CA001-1-3	CA001-1-3	inv	ass map	control	23	14	0.252	33.116	handwritten	10/19/2010
CA001-15-4	CA001-15-4	inv	ass map	control	23	12	0.168	29.186		10/19/2010
CA001-3-15	CA001-3-15	inv	ass map	control	23	36	0.072	13.483	handwritten	10/19/2010
CA001-5-13	CA001-5-13	inv	ass map	control	23	43	0.124	16.418		10/19/2010
CA001-5-24	CA001-5-24	inv	ass map	control	23	45	0.15	19.206		10/19/2010
CA001-5-6	CA001-5-6	inv	ass map	control	23	23	0.067	19.84		10/19/2010
CA001-5-9	CA001-5-9	inv	ass map	control	23	30	NA	NA		10/19/2010
CA001-8-12	CA001-8-12	inv	ass map	control	23	1	0.06	9.613		10/19/2010
CA001-8-2	CA001-8-2	inv	ass map	control	23	25	0.13	21.872		10/19/2010
CA001-8-25	CA001-8-25	inv	ass map	control	23	18	0.147	24.005		10/19/2010
CA001-8-9	CA001-8-9	inv	ass map	control	23	8	0.189	30.669		10/19/2010
CA001-9-13	CA001-9-13	inv	ass map	control	23	34	0.195	28.088		10/19/2010
CA001-9-17	CA001-9-17	inv	ass map	control	23	49	0.164	18.754		10/19/2010
HUG-1-1	HUG-1-1	SK	ass map	control	23	32	0.144	21.081		10/19/2010
SERG-1-2	SERG-1-2	SK	ass map	control	23	41	NA	NA		10/19/2010
SERG-2-2	SERG-2-2	SK	ass map	control	23	16	0.015	2.402		10/19/2010
SERG-2-7	SERG-2-7	SK	ass map	control	23	27	NA	NA		10/19/2010
SERG-3-10	SERG-3-10	SK	ass map	control	23	38	0.095	13.028		10/19/2010
US001-4-1	US001-4-1	inv	ass map	control	23	31	0.087	19.84		10/19/2010
US002-1-1	US002-1-1	inv	ass map	control	23	9	0.079	18.544		10/19/2010
US002-3-16	US002-3-16	inv	ass map	control	23	47	0.133	19.616		10/19/2010
US003-10-2	US003-10-2	inv	ass map	control	23	29	0.18	19.86		10/19/2010
US003-13-8	US003-13-8	inv	ass map	control	23	11	0.176	26.43		10/19/2010
US003-17-1	US003-17-1	inv	ass map	control	23	15	0.054	11.869		10/19/2010
US003-3-12	US003-3-12	inv	ass map	control	23	10	0.052	10.094		10/19/2010
US003-5-8	US003-5-8	inv	ass map	control	23	3	0.115	21.144		10/19/2010
US003-7-2	US003-7-2	inv	ass map	control	23	7	0.094	19.17		10/19/2010
