Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
BG001-6-5	15	48	BG001-6-5	BG001	6	5	nat	array	dna	0	0	0	y	1	27.3	27.3	NA	NA	NA	NA	NA	NA	66		10/21/2010	0.6	3.899	NA	2010-10-21	86
BG001-8-1	6	29	BG001-8-1	BG001	8	1	nat	mat fx	control	0	0	0	y	1	39.5	39.5	NA	NA	NA	NA	NA	NA	194	LGT PRPL	10/19/2010	0.95	6.468	NA	2010-10-19	84
BG001-8-2	22	18	BG001-8-2	BG001	8	2	nat	ass map	control	0	0	0	y	1	33	33	NA	NA	NA	NA	NA	NA	395	PRPL FLRS	10/21/2010	0.75	6.393	NA	2010-10-21	86
BG001-8-4	14	34	BG001-8-4	BG001	8	4	nat	ass map	control	1	21.9	4.5	y	1	40	40	NA	NA	NA	NA	NA	NA	53		10/19/2010	0.7	2.937	NA	2010-10-19	84
BG001-8-5	8	43	BG001-8-5	BG001	8	5	nat	mat fx	cut	22	0	0	y	1	8	8	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.8	NA	NA	2010-10-18	83
BG001-9-10	16	1	BG001-9-10	BG001	9	10	nat	ass map	control	0	0	0	y	1	20.3	20.3	NA	NA	NA	NA	NA	NA	95	FLR PURPLE	10/15/2010	0.6	3.474	NA	2010-10-15	80
BG001-9-12	23	5	BG001-9-12	BG001	9	12	nat	ass map	control	6	24	5.2	y	1	38	38	NA	NA	NA	NA	NA	NA	16		10/20/2010	0.8	2.515	NA	2010-10-20	85
BG001-9-5	11	34	BG001-9-5	BG001	9	5	nat	mat fx	nut def	15	17.9	2.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.5	0.701	NA	2010-10-13	78
BG001-9-6	21	47	BG001-9-6	BG001	9	6	nat	ass map	control	0	0	0	y	1	28	28	NA	NA	NA	NA	NA	NA	220	FLR LIGHT PRPL	10/21/2010	0.5	4.187	NA	2010-10-21	86
BG001-9-7	22	8	BG001-9-7	BG001	9	7	nat	ass map	control	17	23.1	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	2.828	NA	2010-10-21	86
BG001-9-8	13	16	BG001-9-8	BG001	9	8	nat	ass map	control	3	20.5	2.5	y	1	41.6	41.6	NA	NA	NA	NA	NA	NA	49		10/21/2010	0.5	3.536	NA	2010-10-21	86
BG001-9-9	19	31	BG001-9-9	BG001	9	9	nat	ass map	control	0	0	0	y	2	27.2	27.2	21	NA	NA	NA	NA	NA	62	L PRPL	10/21/2010	0.55	2.248	NA	2010-10-21	86
BG3-1-1	22	36	BG3-1-1	BG3	1	1	SK	ass map	control	12	23.1	6.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.448	NA	2010-10-21	86
BG3-1-2	17	30	BG3-1-2	BG3	1	2	SK	ass map	control	14	25.5	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.968	NA	2010-10-20	85
BG3-1-3	18	30	BG3-1-3	BG3	1	3	SK	ass map	control	12	20.1	5.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.161	NA	2010-10-20	85
BG3-1-4	17	9	BG3-1-4	BG3	1	4	SK	ass map	control	5	21.5	4.3	y	1	38.7	38.7	NA	NA	NA	NA	NA	NA	18	LKS DFFSE LGHT BRCT	10/20/2010	0.75	4.397	NA	2010-10-20	85
BG3-2-1	13	38	BG3-2-1	BG3	2	1	SK	ass map	control	7	25.7	7.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.774	NA	2010-10-21	86
BG3-2-2	15	8	BG3-2-2	BG3	2	2	SK	ass map	control	10	27.4	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.268	NA	2010-10-21	86
BG3-3-1	14	32	BG3-3-1	BG3	3	1	SK	ass map	control	12	25.4	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.7	3.264	NA	2010-10-19	84
CA001-10-1	13	3	CA001-10-1	CA001	10	1	inv	ass map	control	8	24.1	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.3	1.367	NA	2010-10-21	86
CA001-10-2	14	15	CA001-10-2	CA001	10	2	inv	ass map	control	21	24.1	4.5	y	1	23.1	23.1	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	3.968	NA	2010-10-19	84
CA001-10-3	23	40	CA001-10-3	CA001	10	3	inv	ass map	control	11	18.2	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	0		10/20/2010	0.9	2.677	NA	2010-10-20	85
CA001-10-4	13	48	CA001-10-4	CA001	10	4	inv	array	dna	21	28.1	5.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	4.472	NA	2010-10-21	86
CA001-10-5	21	14	CA001-10-5	CA001	10	5	inv	ass map	control	14	27	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FLR WHITE	10/21/2010	0.4	2.807	NA	2010-10-21	86
CA001-10-6	17	3	CA001-10-6	CA001	10	6	inv	ass map	control	17	22.8	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.469	NA	2010-10-20	85
CA001-10-7	16	21	CA001-10-7	CA001	10	7	inv	ass map	control	19	26.4	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	0		10/15/2010	1	3.408	NA	2010-10-15	80
CA001-1-1	13	30	CA001-1-1	CA001	1	1	inv	ass map	control	10	29.1	3.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.85	3.105	NA	2010-10-21	86
CA001-11-1	8	34	CA001-11-1	CA001	11	1	inv	mat fx	cut	33	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.8	NA	NA	2010-10-18	83
CA001-11-11	15	43	CA001-11-11	CA001	11	11	inv	ass map	control	31	22	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.811	NA	2010-10-21	86
CA001-11-2	19	14	CA001-11-2	CA001	11	2	inv	ass map	control	16	29.2	6.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.957	NA	2010-10-21	86
CA001-11-3	21	43	CA001-11-3	CA001	11	3	inv	ass map	control	15	27	3.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.475	NA	2010-10-21	86
CA001-11-4	23	21	CA001-11-4	CA001	11	4	inv	ass map	control	22	23.1	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.78	NA	2010-10-20	85
CA001-11-5	17	32	CA001-11-5	CA001	11	5	inv	ass map	control	22	22.5	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.85	4.092	NA	2010-10-20	85
CA001-11-6	15	45	CA001-11-6	CA001	11	6	inv	ass map	control	18	24.4	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	2.668	NA	2010-10-21	86
CA001-11-7	20	14	CA001-11-7	CA001	11	7	inv	ass map	control	26	23.7	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.537	NA	2010-10-21	86
CA001-11-8	21	45	CA001-11-8	CA001	11	8	inv	ass map	control	13	23.5	2.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	2.623	NA	2010-10-21	86
CA001-11-9	15	10	CA001-11-9	CA001	11	9	inv	ass map	control	34	18.6	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.785	NA	2010-10-21	86
CA001-1-2	21	30	CA001-1-2	CA001	1	2	inv	ass map	control	22	26.3	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.098	NA	2010-10-21	86
CA001-12-10	16	9	CA001-12-10	CA001	12	10	inv	ass map	control	15	26	5	y	1	5.6	5.6	NA	NA	NA	NA	NA	NA	0		10/15/2010	1.1	3.205	NA	2010-10-15	80
CA001-12-11	22	31	CA001-12-11	CA001	12	11	inv	ass map	control	15	27.9	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.233	NA	2010-10-21	86
CA001-12-12	13	9	CA001-12-12	CA001	12	12	inv	ass map	control	5	24	3.1	y	1	33.1	33.1	NA	NA	NA	NA	NA	NA	11		10/21/2010	0.9	2.685	NA	2010-10-21	86
CA001-12-13	20	47	CA001-12-13	CA001	12	13	inv	ass map	control	14	25.6	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.357	NA	2010-10-21	86
CA001-12-14	11	20	CA001-12-14	CA001	12	14	inv	mat fx	nut def	14	13.1	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.45	1.296	NA	2010-10-13	78
CA001-12-15	21	11	CA001-12-15	CA001	12	15	inv	ass map	control	16	29	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	2.658	NA	2010-10-21	86
CA001-12-16	19	49	CA001-12-16	CA001	12	16	inv	ass map	control	14	24	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.75	3.181	NA	2010-10-21	86
CA001-12-17	23	35	CA001-12-17	CA001	12	17	inv	ass map	control	11	24.6	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.75	3.002	NA	2010-10-20	85
CA001-12-18	19	41	CA001-12-18	CA001	12	18	inv	ass map	control	14	24.2	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.238	NA	2010-10-21	86
CA001-12-2	17	14	CA001-12-2	CA001	12	2	inv	ass map	control	19	26.3	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.935	NA	2010-10-20	85
CA001-12-3	21	27	CA001-12-3	CA001	12	3	inv	ass map	control	17	31	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	4.398	NA	2010-10-21	86
CA001-12-5	18	14	CA001-12-5	CA001	12	5	inv	ass map	control	14	26	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.165	NA	2010-10-20	85
CA001-12-8	12	30	CA001-12-8	CA001	12	8	inv	ass map	control	19	23.7	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.68	NA	2010-10-19	84
CA001-12-9	13	25	CA001-12-9	CA001	12	9	inv	ass map	control	15	27	4.3	y	1	42.7	42.7	NA	NA	NA	NA	NA	NA	2		10/21/2010	0.7	4.081	NA	2010-10-21	86
CA001-1-3	23	14	CA001-1-3	CA001	1	3	inv	ass map	control	16	28.6	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.77	NA	2010-10-20	85
CA001-13-1	7	29	CA001-13-1	CA001	13	1	inv	mat fx	control	22	26	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.5	3.77	NA	2010-10-21	86
CA001-13-2	16	5	CA001-13-2	CA001	13	2	inv	ass map	control	17	25.6	3.1	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/15/2010	0.9	2.338	NA	2010-10-15	80
CA001-13-3	22	3	CA001-13-3	CA001	13	3	inv	ass map	control	16	26.9	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.65	2.7	NA	2010-10-21	86
CA001-14-1	6	12	CA001-14-1	CA001	14	1	inv	mat fx	control	18	26.4	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	4.045	NA	2010-10-19	84
CA001-15-1	12	7	CA001-15-1	CA001	15	1	inv	ass map	control	15	22.5	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	2.563	NA	2010-10-19	84
CA001-15-2	19	3	CA001-15-2	CA001	15	2	inv	ass map	control	20	22.3	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.818	NA	2010-10-21	86
CA001-15-3	20	11	CA001-15-3	CA001	15	3	inv	ass map	control	21	27	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.75	3.77	NA	2010-10-21	86
CA001-15-4	23	12	CA001-15-4	CA001	15	4	inv	ass map	control	13	27.1	5.1	y	1	31.5	31.5	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	4.895	NA	2010-10-20	85
CA001-15-5	12	32	CA001-15-5	CA001	15	5	inv	ass map	control	21	22.4	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.152	NA	2010-10-19	84
CA001-15-6	16	7	CA001-15-6	CA001	15	6	inv	ass map	control	17	25.7	5.1	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/15/2010	1	2.866	NA	2010-10-15	80
