Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
CA001-20-12	12	15	CA001-20-12	CA001	20	12	inv	ass map	control	34	0	0	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/19/2010	0.7	NA	NA	2010-10-19	84
CA001-20-3	20	18	CA001-20-3	CA001	20	3	inv	ass map	control	15	25.2	4.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.112	NA	2010-10-21	86
CA001-20-4	19	8	CA001-20-4	CA001	20	4	inv	ass map	control	12	24.1	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.435	NA	2010-10-21	86
CA001-20-5	17	25	CA001-20-5	CA001	20	5	inv	ass map	control	23	29	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.374	NA	2010-10-20	85
CA001-2-6	20	27	CA001-2-6	CA001	2	6	inv	ass map	control	14	24.4	7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	changed from CA001-20-6 to match measure 1 and 2; both ass map control	10/21/2010	0.9	4.831	NA	2010-10-21	86
CA001-20-7	22	7	CA001-20-7	CA001	20	7	inv	ass map	control	22	24.7	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.962	NA	2010-10-21	86
CA001-20-8	22	12	CA001-20-8	CA001	20	8	inv	ass map	control	17	26.6	5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.894	NA	2010-10-21	86
CA001-20-9	18	20	CA001-20-9	CA001	20	9	inv	ass map	control	20	24	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	3.933	NA	2010-10-20	85
CA001-2-2	20	32	CA001-2-2	CA001	2	2	inv	ass map	control	35	23.2	6.1	y	1	11	11	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.95	4.245	NA	2010-10-21	86
CA001-2-3	13	45	CA001-2-3	CA001	2	3	inv	ass map	control	14	29.1	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	5.172	NA	2010-10-21	86
CA001-2-4	15	23	CA001-2-4	CA001	2	4	inv	ass map	control	20	23.6	5.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.594	NA	2010-10-21	86
CA001-2-5	19	21	CA001-2-5	CA001	2	5	inv	ass map	control	17	27.3	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	4.515	NA	2010-10-21	86
CA001-3-1	18	8	CA001-3-1	CA001	3	1	inv	ass map	control	34	26.5	5.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.2	3.469	NA	2010-10-20	85
CA001-3-11	20	21	CA001-3-11	CA001	3	11	inv	ass map	control	21	25.3	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.71	NA	2010-10-21	86
CA001-3-12	13	20	CA001-3-12	CA001	3	12	inv	ass map	control	14	23.5	3.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.72	NA	2010-10-21	86
CA001-3-13	21	50	CA001-3-13	CA001	3	13	inv	ass map	control	22	18.5	2.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.083	NA	2010-10-21	86
CA001-3-14	16	34	CA001-3-14	CA001	3	14	inv	ass map	control	25	23.3	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	1.2	3.334	NA	2010-10-15	80
CA001-3-15	23	36	CA001-3-15	CA001	3	15	inv	ass map	control	22	18.5	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	2.775	NA	2010-10-20	85
CA001-3-17	15	3	CA001-3-17	CA001	3	17	inv	ass map	control	17	18.6	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	3.779	NA	2010-10-21	86
CA001-3-18	12	50	CA001-3-18	CA001	3	18	inv	ass map	control	18	16.1	4.2	n	NA	0	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	2.375	NA	2010-10-19	84
CA001-3-19	18	34	CA001-3-19	CA001	3	19	inv	ass map	control	15	27.8	6.3	y	1	0.9	0.9	NA	NA	NA	NA	NA	NA	NA	CA001-5-3	10/20/2010	0.9	3.907	NA	2010-10-20	85
CA001-3-2	15	31	CA001-3-2	CA001	3	2	inv	ass map	control	22	21.5	2.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.04	NA	2010-10-21	86
CA001-3-3	22	23	CA001-3-3	CA001	3	3	inv	ass map	control	17	27.1	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.861	NA	2010-10-21	86
CA001-3-4	21	21	CA001-3-4	CA001	3	4	inv	ass map	control	14	23	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.466	NA	2010-10-21	86
CA001-3-6	16	10	CA001-3-6	CA001	3	6	inv	ass map	control	27	24.8	4	y	1	3.6	3.6	NA	NA	NA	NA	NA	NA	0		10/15/2010	1.5	3.536	NA	2010-10-15	80
CA001-3-7	12	43	CA001-3-7	CA001	3	7	inv	ass map	control	18	21.1	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.634	NA	2010-10-19	84
CA001-3-8	14	45	CA001-3-8	CA001	3	8	inv	ass map	control	14	22.7	8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	2.954	NA	2010-10-19	84
CA001-3-9	14	8	CA001-3-9	CA001	3	9	inv	ass map	control	15	24.6	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	2.189	NA	2010-10-19	84
CA001-4-1	18	38	CA001-4-1	CA001	4	1	inv	ass map	control	35	20	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.2	3.85	NA	2010-10-20	85
CA001-4-10	13	34	CA001-4-10	CA001	4	10	inv	ass map	control	20	30.1	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.849	NA	2010-10-21	86
CA001-4-11	12	31	CA001-4-11	CA001	4	11	inv	ass map	control	34	17	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.1	3.667	NA	2010-10-19	84
CA001-4-12	12	14	CA001-4-12	CA001	4	12	inv	ass map	control	68	21.4	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	5.197	NA	2010-10-19	84
CA001-4-2	21	20	CA001-4-2	CA001	4	2	inv	ass map	control	49	21.2	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.844	NA	2010-10-21	86
CA001-4-4	16	14	CA001-4-4	CA001	4	4	inv	ass map	control	16	27.6	4.1	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/15/2010	1.1	3.307	NA	2010-10-15	80
CA001-4-5	12	11	CA001-4-5	CA001	4	5	inv	ass map	control	32	19.2	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.85	3.066	NA	2010-10-19	84
CA001-4-6	14	18	CA001-4-6	CA001	4	6	inv	ass map	control	25	21.1	3	y	1	33.5	33.5	NA	NA	NA	NA	NA	NA	10		10/19/2010	1.2	4.771	NA	2010-10-19	84
CA001-4-7	13	14	CA001-4-7	CA001	4	7	inv	ass map	control	18	24	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	3.024	NA	2010-10-21	86
CA001-4-8	18	50	CA001-4-8	CA001	4	8	inv	ass map	control	29	18.3	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	4.274	NA	2010-10-20	85
CA001-4-9	12	40	CA001-4-9	CA001	4	9	inv	ass map	control	23	24.5	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.892	NA	2010-10-19	84
CA001-5-10	17	40	CA001-5-10	CA001	5	10	inv	ass map	control	27	21.7	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.2	4.276	NA	2010-10-20	85
CA001-5-11	18	16	CA001-5-11	CA001	5	11	inv	ass map	control	32	27	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	5.681	NA	2010-10-20	85
CA001-5-12	20	34	CA001-5-12	CA001	5	12	inv	ass map	control	35	23.2	5.3	y	1	3	3	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	5.308	NA	2010-10-21	86
CA001-5-13	23	43	CA001-5-13	CA001	5	13	inv	ass map	control	19	22.3	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	3.417	NA	2010-10-20	85
CA001-5-14	14	25	CA001-5-14	CA001	5	14	inv	ass map	control	35	29.2	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.3	4.38	NA	2010-10-19	84
CA001-5-15	19	43	CA001-5-15	CA001	5	15	inv	ass map	control	26	22.6	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.993	NA	2010-10-21	86
CA001-5-17	11	40	CA001-5-17	CA001	5	17	inv	mat fx	nut def	16	17.1	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.6	2.008	NA	2010-10-13	78
CA001-5-18	22	9	CA001-5-18	CA001	5	18	inv	ass map	control	12	25.9	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.973	NA	2010-10-21	86
CA001-5-19	19	11	CA001-5-19	CA001	5	19	inv	ass map	control	16	23.6	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.932	NA	2010-10-21	86
CA001-5-2	21	23	CA001-5-2	CA001	5	2	inv	ass map	control	22	27	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.804	NA	2010-10-21	86
CA001-5-21	18	36	CA001-5-21	CA001	5	21	inv	ass map	control	36	23.1	5.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	4.772	NA	2010-10-20	85
CA001-5-22	17	5	CA001-5-22	CA001	5	22	inv	ass map	control	25	29.1	5.1	n	NA	0	0	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	3.259	NA	2010-10-20	85
CA001-5-23	15	14	CA001-5-23	CA001	5	23	inv	ass map	control	32	26.5	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	4.73	NA	2010-10-21	86
CA001-5-24	23	45	CA001-5-24	CA001	5	24	inv	ass map	control	14	23.2	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	2.979	NA	2010-10-20	85
CA001-5-3	18	32	CA001-5-3	CA001	5	3	inv	ass map	control	30	22.7	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.95	4.535	NA	2010-10-20	85
CA001-5-4	22	50	CA001-5-4	CA001	5	4	inv	ass map	control	18	20.2	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.1	3.638	NA	2010-10-21	86
CA001-5-5	20	31	CA001-5-5	CA001	5	5	inv	ass map	control	55	23.8	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.996	NA	2010-10-21	86
CA001-5-6	23	23	CA001-5-6	CA001	5	6	inv	ass map	control	42	24	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	3.54	NA	2010-10-20	85
CA001-5-7	21	16	CA001-5-7	CA001	5	7	inv	ass map	control	33	28.6	4	y	1	15.6	15.6	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	5.071	NA	2010-10-21	86
CA001-5-8	14	31	CA001-5-8	CA001	5	8	inv	ass map	control	43	24.8	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	4.562	NA	2010-10-19	84
CA001-5-9	23	30	CA001-5-9	CA001	5	9	inv	ass map	control	27	24.6	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	3.667	NA	2010-10-20	85
CA001-6-2	8	38	CA001-6-2	CA001	6	2	inv	mat fx	cut	62	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
CA001-7-1	14	3	CA001-7-1	CA001	7	1	inv	ass map	control	24	24.5	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	4.117	NA	2010-10-19	84
CA001-7-10	17	15	CA001-7-10	CA001	7	10	inv	ass map	control	20	26.4	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.123	NA	2010-10-20	85
CA001-7-2	15	9	CA001-7-2	CA001	7	2	inv	ass map	control	50	26.1	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	4.895	NA	2010-10-21	86
CA001-7-3	18	49	CA001-7-3	CA001	7	3	inv	ass map	control	18	21	4.3	y	1	0.85	0.85	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.85	3.826	NA	2010-10-20	85
CA001-7-4	20	25	CA001-7-4	CA001	7	4	inv	ass map	control	18	23.9	5.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	5.129	NA	2010-10-21	86
CA001-7-5	11	36	CA001-7-5	CA001	7	5	inv	mat fx	nut def	14	18.3	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.55	1.713	NA	2010-10-13	78
CA001-7-6	21	9	CA001-7-6	CA001	7	6	inv	ass map	control	18	23	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.004	NA	2010-10-21	86
CA001-7-7	20	41	CA001-7-7	CA001	7	7	inv	ass map	control	9	18.5	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	2.392	NA	2010-10-21	86
CA001-7-9	21	34	CA001-7-9	CA001	7	9	inv	ass map	control	14	30	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	3.791	NA	2010-10-21	86
CA001-8-1	12	29	CA001-8-1	CA001	8	1	inv	ass map	control	27	25.2	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	5.836	NA	2010-10-19	84
CA001-8-12	23	1	CA001-8-12	CA001	8	12	inv	ass map	control	29	18	3.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.15	3.185	NA	2010-10-20	85
CA001-8-13	16	30	CA001-8-13	CA001	8	13	inv	ass map	control	25	23.7	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	0.8	3.071	NA	2010-10-15	80
CA001-8-14	13	36	CA001-8-14	CA001	8	14	inv	ass map	control	17	26.2	6.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	3.869	NA	2010-10-21	86
CA001-8-15	20	50	CA001-8-15	CA001	8	15	inv	ass map	control	12	17.1	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	2.932	NA	2010-10-21	86
CA001-8-16	12	12	CA001-8-16	CA001	8	16	inv	ass map	control	35	20.1	5.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.05	4.812	NA	2010-10-19	84
CA001-8-17	19	29	CA001-8-17	CA001	8	17	inv	ass map	control	34	22.5	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.107	NA	2010-10-21	86
CA001-8-18	14	20	CA001-8-18	CA001	8	18	inv	ass map	control	26	25.3	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.211	NA	2010-10-19	84
CA001-8-2	23	25	CA001-8-2	CA001	8	2	inv	ass map	control	19	21.8	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	3.478	NA	2010-10-20	85
CA001-8-20	15	50	CA001-8-20	CA001	8	20	inv	ass map	control	49	24	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.905	NA	2010-10-21	86
CA001-8-21	15	7	CA001-8-21	CA001	8	21	inv	ass map	control	23	23.5	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	4.868	NA	2010-10-21	86
CA001-8-22	19	40	CA001-8-22	CA001	8	22	inv	ass map	control	24	25.2	6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.385	NA	2010-10-21	86
CA001-8-23	19	1	CA001-8-23	CA001	8	23	inv	ass map	control	27	19.9	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.95	3.285	NA	2010-10-21	86
CA001-8-24	7	12	CA001-8-24	CA001	8	24	inv	mat fx	control	23	20.4	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.371	NA	2010-10-21	86
CA001-8-25	23	18	CA001-8-25	CA001	8	25	inv	ass map	control	22	23	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.724	NA	2010-10-20	85
CA001-8-3	22	1	CA001-8-3	CA001	8	3	inv	ass map	control	20	22.1	2.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.75	3.231	NA	2010-10-21	86
CA001-8-4	13	49	CA001-8-4	CA001	8	4	inv	ass map	control	17	21.6	3.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	2.228	NA	2010-10-21	86
CA001-8-5	22	20	CA001-8-5	CA001	8	5	inv	ass map	control	21	20.1	3	y	1	32	32	NA	NA	NA	NA	NA	NA	2		10/21/2010	0.9	4.375	NA	2010-10-21	86
CA001-8-7	22	45	CA001-8-7	CA001	8	7	inv	ass map	control	15	26.1	5.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.244	NA	2010-10-21	86
CA001-8-8	12	3	CA001-8-8	CA001	8	8	inv	ass map	control	23	24.3	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.85	3.529	NA	2010-10-19	84
CA001-8-9	23	8	CA001-8-9	CA001	8	9	inv	ass map	control	35	25.8	4.6	y	1	3	3	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.379	NA	2010-10-20	85
CA001-9-1	13	7	CA001-9-1	CA001	9	1	inv	ass map	control	15	20.5	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	3.59	NA	2010-10-21	86
CA001-9-10	22	25	CA001-9-10	CA001	9	10	inv	ass map	control	16	27.6	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.452	NA	2010-10-21	86
CA001-9-11	18	5	CA001-9-11	CA001	9	11	inv	ass map	control	17	21.7	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.717	NA	2010-10-20	85
CA001-9-12	21	40	CA001-9-12	CA001	9	12	inv	ass map	control	17	26	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.169	NA	2010-10-21	86
CA001-9-13	23	34	CA001-9-13	CA001	9	13	inv	ass map	control	14	22	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.1	3.325	NA	2010-10-20	85
CA001-9-14	13	41	CA001-9-14	CA001	9	14	inv	ass map	control	21	28	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.207	NA	2010-10-21	86
CA001-9-16	14	40	CA001-9-16	CA001	9	16	inv	ass map	control	8	23.3	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	2.689	NA	2010-10-19	84
CA001-9-17	23	49	CA001-9-17	CA001	9	17	inv	ass map	control	12	15.7	3.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	2.917	NA	2010-10-20	85
CA001-9-18	12	16	CA001-9-18	CA001	9	18	inv	ass map	control	16	28.7	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	3.254	NA	2010-10-19	84
CA001-9-19	19	32	CA001-9-19	CA001	9	19	inv	ass map	control	14	24.3	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.116	NA	2010-10-21	86
CA001-9-20	21	29	CA001-9-20	CA001	9	20	inv	ass map	control	20	32	6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.712	NA	2010-10-21	86
CA001-9-21	12	25	CA001-9-21	CA001	9	21	inv	array	dna	17	29.8	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	4.175	NA	2010-10-19	84
CA001-9-22	15	38	CA001-9-22	CA001	9	22	inv	ass map	control	18	22.5	5.3	y	1	10.3	10.3	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	3.13	NA	2010-10-21	86
CA001-9-23	14	23	CA001-9-23	CA001	9	23	inv	ass map	control	17	23.5	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	4.47	NA	2010-10-19	84
CA001-9-24	16	31	CA001-9-24	CA001	9	24	inv	ass map	control	11	24.9	5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	1	3.14	NA	2010-10-15	80
CA001-9-25	20	35	CA001-9-25	CA001	9	25	inv	ass map	control	13	26.2	6.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.05	3.345	NA	2010-10-21	86
CA001-9-26	16	29	CA001-9-26	CA001	9	26	inv	ass map	control	15	28.2	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	0.8	3.989	NA	2010-10-15	80
CA001-9-27	17	1	CA001-9-27	CA001	9	27	inv	ass map	control	17	25	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.69	NA	2010-10-20	85
CA001-9-3	17	23	CA001-9-3	CA001	9	3	inv	ass map	control	18	30.7	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	4.433	NA	2010-10-20	85
CA001-9-30	18	43	CA001-9-30	CA001	9	30	inv	ass map	control	11	21.9	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.9	3.251	NA	2010-10-20	85
CA001-9-31	6	7	CA001-9-31	CA001	9	31	inv	mat fx	control	16	21.5	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.1	4.276	NA	2010-10-19	84
CA001-9-4	15	32	CA001-9-4	CA001	9	4	inv	ass map	control	11	26.6	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.125	NA	2010-10-21	86
CA001-9-5	7	18	CA001-9-5	CA001	9	5	inv	mat fx	control	28	22.1	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.041	NA	2010-10-21	86
CA001-9-6	15	21	CA001-9-6	CA001	9	6	inv	ass map	control	15	26.4	5.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.583	NA	2010-10-21	86
CA001-9-7	21	7	CA001-9-7	CA001	9	7	inv	ass map	control	14	25.1	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	2.891	NA	2010-10-21	86
CA001-9-9	21	15	CA001-9-9	CA001	9	9	inv	ass map	control	20	30	6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	3.064	NA	2010-10-21	86
GR002-10-2	20	43	GR002-10-2	GR002	10	2	nat	ass map	control	15	18.3	4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	2.525	NA	2010-10-21	86
GR002-10-3	11	45	GR002-10-3	GR002	10	3	nat	mat fx	nut def	22	16.1	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	2.131	NA	2010-10-13	78
GR002-10-4	7	25	GR002-10-4	GR002	10	4	nat	mat fx	control	24	19.5	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.8	3.069	NA	2010-10-21	86
GR002-1-1	7	16	GR002-1-1	GR002	1	1	nat	mat fx	control	27	24.5	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.468	NA	2010-10-21	86
GR002-1-2	6	34	GR002-1-2	GR002	1	2	nat	mat fx	control	8	26.5	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	4.238	NA	2010-10-19	84
GR002-3-1	8	16	GR002-3-1	GR002	3	1	nat	mat fx	cut	31	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1.2	NA	NA	2010-10-18	83
GR002-3-2	7	47	GR002-3-2	GR002	3	2	nat	mat fx	control	18	22.4	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	2.67	NA	2010-10-21	86
GR002-3-3	8	27	GR002-3-3	GR002	3	3	nat	mat fx	cut	22	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
GR002-5-1	8	7	GR002-5-1	GR002	5	1	nat	mat fx	cut	29	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1.1	NA	NA	2010-10-18	83
GR002-6-1	7	43	GR002-6-1	GR002	6	1	nat	mat fx	control	35	22.6	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.044	NA	2010-10-21	86
GR002-6-2	11	49	GR002-6-2	GR002	6	2	nat	mat fx	nut def	16	13.5	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.8	1.565	NA	2010-10-13	78
GR002-9-4	6	41	GR002-9-4	GR002	9	4	nat	mat fx	control	15	23.6	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.371	NA	2010-10-19	84
GR002-9-6	12	38	GR002-9-6	GR002	9	6	nat	ass map	control	16	23.7	4.4	y	1	31.5	31.5	NA	NA	NA	NA	NA	NA	4		10/19/2010	0.8	4.478	NA	2010-10-19	84
GR002-9-7	16	35	GR002-9-7	GR002	9	7	nat	ass map	control	2	17.9	3.7	y	1	33.5	33.5	NA	NA	NA	NA	NA	NA	55	FLR WHITE	10/15/2010	0.9	4.328	NA	2010-10-15	80
