Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
CA001-3-10	1	41	CA001-3-10	CA001	3	10	inv	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-11	20	21	CA001-3-11	CA001	3	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-12	13	20	CA001-3-12	CA001	3	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-13	21	50	CA001-3-13	CA001	3	13	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-14	16	34	CA001-3-14	CA001	3	14	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-15	23	36	CA001-3-15	CA001	3	15	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-16	4	3	CA001-3-16	CA001	3	16	inv	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-17	15	3	CA001-3-17	CA001	3	17	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-18	12	50	CA001-3-18	CA001	3	18	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-19	18	34	CA001-3-19	CA001	3	19	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-2	15	31	CA001-3-2	CA001	3	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-3	22	23	CA001-3-3	CA001	3	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-4	21	21	CA001-3-4	CA001	3	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-5	9	32	CA001-3-5	CA001	3	5	inv	mat fx	drought	7/28/2010	8/1/2010		8/2/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-6	16	10	CA001-3-6	CA001	3	6	inv	ass map	control							10/15/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-7	12	43	CA001-3-7	CA001	3	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-8	14	45	CA001-3-8	CA001	3	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-9	14	8	CA001-3-9	CA001	3	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-1	18	38	CA001-4-1	CA001	4	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-10	13	34	CA001-4-10	CA001	4	10	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-11	12	31	CA001-4-11	CA001	4	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-12	12	14	CA001-4-12	CA001	4	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-2	21	20	CA001-4-2	CA001	4	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-3	9	34	CA001-4-3	CA001	4	3	inv	mat fx	drought	7/28/2010	8/1/2010		8/2/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-4	16	14	CA001-4-4	CA001	4	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-5	12	11	CA001-4-5	CA001	4	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-6	14	18	CA001-4-6	CA001	4	6	inv	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-7	13	14	CA001-4-7	CA001	4	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-8	18	50	CA001-4-8	CA001	4	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-4-9	12	40	CA001-4-9	CA001	4	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-1	10	7	CA001-5-1	CA001	5	1	inv	mat fx	flood			8/1/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-10	17	40	CA001-5-10	CA001	5	10	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-11	18	16	CA001-5-11	CA001	5	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-12	20	34	CA001-5-12	CA001	5	12	inv	ass map	control							10/21/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-13	23	43	CA001-5-13	CA001	5	13	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-14	14	25	CA001-5-14	CA001	5	14	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-15	19	43	CA001-5-15	CA001	5	15	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-16	5	43	CA001-5-16	CA001	5	16	inv	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-17	11	40	CA001-5-17	CA001	5	17	inv	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-18	22	9	CA001-5-18	CA001	5	18	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-19	19	11	CA001-5-19	CA001	5	19	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-2	21	23	CA001-5-2	CA001	5	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-20	2	16	CA001-5-20	CA001	5	20	inv	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-21	18	36	CA001-5-21	CA001	5	21	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-22	17	5	CA001-5-22	CA001	5	22	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-23	15	14	CA001-5-23	CA001	5	23	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-24	23	45	CA001-5-24	CA001	5	24	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-3	18	32	CA001-5-3	CA001	5	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-4	22	50	CA001-5-4	CA001	5	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-5	20	31	CA001-5-5	CA001	5	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-6	23	23	CA001-5-6	CA001	5	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-7	21	16	CA001-5-7	CA001	5	7	inv	ass map	control							10/21/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-8	14	31	CA001-5-8	CA001	5	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-5-9	23	30	CA001-5-9	CA001	5	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-6-2	8	38	CA001-6-2	CA001	6	2	inv	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-1	14	3	CA001-7-1	CA001	7	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-10	17	15	CA001-7-10	CA001	7	10	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-2	15	9	CA001-7-2	CA001	7	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-3	18	49	CA001-7-3	CA001	7	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-4	20	25	CA001-7-4	CA001	7	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-5	11	36	CA001-7-5	CA001	7	5	inv	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-6	21	9	CA001-7-6	CA001	7	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-7	20	41	CA001-7-7	CA001	7	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-7-9	21	34	CA001-7-9	CA001	7	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-1	12	29	CA001-8-1	CA001	8	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-10	4	32	CA001-8-10	CA001	8	10	inv	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-11	10	34	CA001-8-11	CA001	8	11	inv	mat fx	flood			8/1/2010	8/13/2010	8/11/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-12	23	1	CA001-8-12	CA001	8	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-13	16	30	CA001-8-13	CA001	8	13	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-14	13	36	CA001-8-14	CA001	8	14	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-15	20	50	CA001-8-15	CA001	8	15	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-16	12	12	CA001-8-16	CA001	8	16	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-17	19	29	CA001-8-17	CA001	8	17	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-18	14	20	CA001-8-18	CA001	8	18	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-19	4	45	CA001-8-19	CA001	8	19	inv	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-2	23	25	CA001-8-2	CA001	8	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-20	15	50	CA001-8-20	CA001	8	20	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-21	15	7	CA001-8-21	CA001	8	21	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-22	19	40	CA001-8-22	CA001	8	22	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-23	19	1	CA001-8-23	CA001	8	23	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-24	7	12	CA001-8-24	CA001	8	24	inv	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-25	23	18	CA001-8-25	CA001	8	25	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-3	22	1	CA001-8-3	CA001	8	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-4	13	49	CA001-8-4	CA001	8	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-5	22	20	CA001-8-5	CA001	8	5	inv	ass map	control							10/8/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-6	9	25	CA001-8-6	CA001	8	6	inv	mat fx	drought	7/29/2010	8/1/2010		8/3/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-7	22	45	CA001-8-7	CA001	8	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-8	12	3	CA001-8-8	CA001	8	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-8-9	23	8	CA001-8-9	CA001	8	9	inv	ass map	control							10/20/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-1	13	7	CA001-9-1	CA001	9	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-10	22	25	CA001-9-10	CA001	9	10	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-11	18	5	CA001-9-11	CA001	9	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-12	21	40	CA001-9-12	CA001	9	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-13	23	34	CA001-9-13	CA001	9	13	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-14	13	41	CA001-9-14	CA001	9	14	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-15	1	36	CA001-9-15	CA001	9	15	inv	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-16	14	40	CA001-9-16	CA001	9	16	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-17	23	49	CA001-9-17	CA001	9	17	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-18	12	16	CA001-9-18	CA001	9	18	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-19	19	32	CA001-9-19	CA001	9	19	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-2	3	14	CA001-9-2	CA001	9	2	inv	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-20	21	29	CA001-9-20	CA001	9	20	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-21	12	25	CA001-9-21	CA001	9	21	inv	array	dna											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-22	15	38	CA001-9-22	CA001	9	22	inv	ass map	control							10/21/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-23	14	23	CA001-9-23	CA001	9	23	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-24	16	31	CA001-9-24	CA001	9	24	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-25	20	35	CA001-9-25	CA001	9	25	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-26	16	29	CA001-9-26	CA001	9	26	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-27	17	1	CA001-9-27	CA001	9	27	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-28	2	29	CA001-9-28	CA001	9	28	inv	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-29	4	43	CA001-9-29	CA001	9	29	inv	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-3	17	23	CA001-9-3	CA001	9	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-30	18	43	CA001-9-30	CA001	9	30	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-31	6	7	CA001-9-31	CA001	9	31	inv	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-4	15	32	CA001-9-4	CA001	9	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-5	7	18	CA001-9-5	CA001	9	5	inv	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-6	15	21	CA001-9-6	CA001	9	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-7	21	7	CA001-9-7	CA001	9	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-8	4	5	CA001-9-8	CA001	9	8	inv	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-9-9	21	15	CA001-9-9	CA001	9	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-10-1	9	16	GR002-10-1	GR002	10	1	nat	mat fx	drought	7/29/2010	8/2/2010		8/6/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-10-2	20	43	GR002-10-2	GR002	10	2	nat	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-10-3	11	45	GR002-10-3	GR002	10	3	nat	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-10-4	7	25	GR002-10-4	GR002	10	4	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-1-1	7	16	GR002-1-1	GR002	1	1	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-1-2	6	34	GR002-1-2	GR002	1	2	nat	mat fx	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-1-3	5	27	GR002-1-3	GR002	1	3	nat	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-3-1	8	16	GR002-3-1	GR002	3	1	nat	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-3-2	7	47	GR002-3-2	GR002	3	2	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-3-3	8	27	GR002-3-3	GR002	3	3	nat	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-4-1	9	9	GR002-4-1	GR002	4	1	nat	mat fx	drought	7/28/2010	7/29/2010		8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-5-1	8	7	GR002-5-1	GR002	5	1	nat	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-6-1	7	43	GR002-6-1	GR002	6	1	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-6-2	11	49	GR002-6-2	GR002	6	2	nat	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-8-1	10	36	GR002-8-1	GR002	8	1	nat	mat fx	flood			8/3/2010	8/7/2010	8/7/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-1	5	7	GR002-9-1	GR002	9	1	nat	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-2	9	12	GR002-9-2	GR002	9	2	nat	mat fx	drought	7/28/2010	7/30/2010		8/4/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-3	5	32	GR002-9-3	GR002	9	3	nat	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-4	6	41	GR002-9-4	GR002	9	4	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-5	10	29	GR002-9-5	GR002	9	5	nat	mat fx	flood			8/2/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-6	12	38	GR002-9-6	GR002	9	6	nat	ass map	control							9/27/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-7	16	35	GR002-9-7	GR002	9	7	nat	ass map	control							9/16/2010	10/15/2010	white		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-8	11	38	GR002-9-8	GR002	9	8	nat	mat fx	nut def			8/3/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR002-9-9	10	43	GR002-9-9	GR002	9	9	nat	mat fx	flood			8/2/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUG-1-1	23	32	HUG-1-1	HUG	1	1	SK	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-10-1	3	45	RU008-10-1	RU008	10	1	nat	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-1-1	4	34	RU008-1-1	RU008	1	1	nat	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-11-1	6	25	RU008-11-1	RU008	11	1	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-11-2	2	1	RU008-11-2	RU008	11	2	nat	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-1-2	6	9	RU008-1-2	RU008	1	2	nat	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-2-1	8	18	RU008-2-1	RU008	2	1	nat	mat fx	cut							10/18/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-2-2	2	9	RU008-2-2	RU008	2	2	nat	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-3-1	5	21	RU008-3-1	RU008	3	1	nat	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-4-1	9	49	RU008-4-1	RU008	4	1	nat	mat fx	drought	7/28/2010	7/30/2010		8/3/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-1	7	27	RU008-5-1	RU008	5	1	nat	mat fx	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-2	6	23	RU008-5-2	RU008	5	2	nat	mat fx	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-3	3	5	RU008-5-3	RU008	5	3	nat	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-4	10	16	RU008-5-4	RU008	5	4	nat	mat fx	flood			8/3/2010	8/13/2010	8/11/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-5	10	40	RU008-5-5	RU008	5	5	nat	mat fx	flood			8/1/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-6	9	20	RU008-5-6	RU008	5	6	nat	mat fx	drought	7/28/2010	7/29/2010		8/2/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-7	4	49	RU008-5-7	RU008	5	7	nat	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-8	3	23	RU008-5-8	RU008	5	8	nat	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-5-9	7	38	RU008-5-9	RU008	5	9	nat	mat fx	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-6-1	11	27	RU008-6-1	RU008	6	1	nat	mat fx	nut def			8/3/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-7-1	1	20	RU008-7-1	RU008	7	1	nat	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-1	8	12	RU008-8-1	RU008	8	1	nat	mat fx	cut							9/10/2010	10/18/2010	white		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-2	6	47	RU008-8-2	RU008	8	2	nat	mat fx	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-3	2	21	RU008-8-3	RU008	8	3	nat	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-4	8	41	RU008-8-4	RU008	8	4	nat	mat fx	cut							10/18/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-5	10	9	RU008-8-5	RU008	8	5	nat	mat fx	flood			8/1/2010	8/13/2010	8/7/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-6	5	29	RU008-8-6	RU008	8	6	nat	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-8-7	9	43	RU008-8-7	RU008	8	7	nat	mat fx	drought	7/28/2010	7/30/2010		8/3/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-9-1	1	29	RU008-9-1	RU008	9	1	nat	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-9-2	11	23	RU008-9-2	RU008	9	2	nat	mat fx	nut def			8/3/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-9-3	2	5	RU008-9-3	RU008	9	3	nat	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-9-4	3	49	RU008-9-4	RU008	9	4	nat	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RU008-9-5	11	47	RU008-9-5	RU008	9	5	nat	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAND-1-1	7	45	SAND-1-1	SAND	1	1	SK	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAND-1-2	6	32	SAND-1-2	SAND	1	2	SK	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAND-1-3	11	3	SAND-1-3	SAND	1	3	SK	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
