Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
BG001-5-3	2	20	BG001-5-3	BG001	5	3	nat	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-5-4	13	5	BG001-5-4	BG001	5	4	nat	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-5-5	9	18	BG001-5-5	BG001	5	5	nat	mat fx	drought	8/1/2010	8/3/2010		8/5/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-5-6	9	36	BG001-5-6	BG001	5	6	nat	mat fx	drought	7/30/2010	8/1/2010		8/2/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-6-1	13	8	BG001-6-1	BG001	6	1	nat	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-6-2	3	9	BG001-6-2	BG001	6	2	nat	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-6-3	19	12	BG001-6-3	BG001	6	3	nat	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-6-5	15	48	BG001-6-5	BG001	6	5	nat	array	dna							9/16/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-7-1	4	20	BG001-7-1	BG001	7	1	nat	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-7-2	2	12	BG001-7-2	BG001	7	2	nat	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-1	6	29	BG001-8-1	BG001	8	1	nat	mat fx	control							9/10/2010	10/19/2010	light purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-2	22	18	BG001-8-2	BG001	8	2	nat	ass map	control							7/24/2010	9/30/2010	purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-3	2	43	BG001-8-3	BG001	8	3	nat	array	control 1							8/2/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-4	14	34	BG001-8-4	BG001	8	4	nat	ass map	control							9/16/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-5	8	43	BG001-8-5	BG001	8	5	nat	mat fx	cut							10/18/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-6	4	23	BG001-8-6	BG001	8	6	nat	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-7	3	21	BG001-8-7	BG001	8	7	nat	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-8-8	2	45	BG001-8-8	BG001	8	8	nat	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-1	9	23	BG001-9-1	BG001	9	1	nat	mat fx	drought	7/29/2010	8/1/2010		8/3/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-10	16	1	BG001-9-10	BG001	9	10	nat	ass map	control							9/3/2010	9/10/2010	pale purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-11	2	27	BG001-9-11	BG001	9	11	nat	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-12	23	5	BG001-9-12	BG001	9	12	nat	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-2	10	32	BG001-9-2	BG001	9	2	nat	mat fx	flood			8/1/2010	8/9/2010	8/7/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-3	3	7	BG001-9-3	BG001	9	3	nat	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-4	2	25	BG001-9-4	BG001	9	4	nat	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-5	11	34	BG001-9-5	BG001	9	5	nat	mat fx	nut def			8/5/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-6	21	47	BG001-9-6	BG001	9	6	nat	ass map	control							8/9/2010	9/10/2010	light purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-7	22	8	BG001-9-7	BG001	9	7	nat	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-8	13	16	BG001-9-8	BG001	9	8	nat	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-9-9	19	31	BG001-9-9	BG001	9	9	nat	ass map	control							9/16/2010	10/21/2010	light purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-1-1	22	36	BG3-1-1	BG3	1	1	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
