PopID	Rack	Pos	Barcode	Origin	Exp	Trt	comment	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay	HBoltHt3	comments	FlwrNote	sla	Latitude	Longitude	lxwH	bolt.bin	BoltDay.adj
20	BG001	19	12	BG001-6-3	nat	ass map	control		6	3	17	23.8	5.3	n	NA	NA	NA	NA	NA		1.2	2.824	2010-10-21	86	14	20.4	2.6	15	15	3.6				0.126	21.565	10/14/2010	NA	NA		NA	171.150793650794	43.3819444444444	28.4575	126.14	0	NA
21	BG001	19	16	BG001-17-3	nat	ass map	control		17	3	25	25.1	4.8	y	1	23.3	23.3	NA	12		1.1	3.302	2010-10-21	86	19	16.9	3.2	20	12.5	2.3	10/8/2010			0.123	23.753	10/14/2010	73	NA		NA	193.113821138211	43.3819444444444	28.4575	120.48	1	76
22	BG001	22	18	BG001-8-2	nat	ass map	control	BOLT 32.5	8	2	0	0	0	y	1	33	33	NA	395	PRPL FLRS	0.75	6.393	2010-10-21	86	0	0	0	9	16.2	4.9	7/24/2010	9/30/2010	purple	NA	NA	NA	-3	NA	BOLTED TWENTYFOURPFIVE	NA	NA	43.3819444444444	28.4575	0	1	0
23	BG001	13	5	BG001-5-4	nat	ass map	control		5	4	8	25.5	5.6	n	NA	NA	NA	NA	NA		0.4	1.232	2010-10-21	86	13	11.9	3.2	11	9.6	3				0.078	24.535	10/15/2010	NA	NA		NA	314.551282051282	43.3819444444444	28.4575	142.8	0	NA
24	BG001	22	8	BG001-9-7	nat	ass map	control		9	7	17	23.1	5.5	n	NA	NA	NA	NA	NA		0.9	2.828	2010-10-21	86	20	20.8	4.7	14	17.5	4.1				0.133	NA	10/15/2010	NA	NA		NA	NA	43.3819444444444	28.4575	127.05	0	NA
25	BG001	17	31	BG001-4-1	nat	ass map	control		4	1	4	14.7	4	y	1	28	28	NA	12		0.8	2.209	2010-10-20	85	14	12	4.1	17	10.2	2.2	9/27/2010			0.059	19.48	9/28/2010	62	NA		NA	330.169491525424	43.3819444444444	28.4575	58.8	1	65
26	BG001	18	29	BG001-17-10	nat	ass map	control		17	10	23	25	4.7	n	NA	NA	NA	NA	NA		1.1	3.394	2010-10-20	85	27	21.2	5.4	19	10.3	3.1				0.103	15.924	10/18/2010	NA	NA		NA	154.601941747573	43.3819444444444	28.4575	117.5	0	NA
27	BG001	15	49	BG001-18-3	nat	ass map	control		18	3	0	NA	0	y	3	24.1	24.1	8.5	27		0.7	1.6	2010-10-21	86	15	10.9	3.1	16	10.5	2.9	9/16/2010			NA	NA	10/18/2010	51	0.7		NA	NA	43.3819444444444	28.4575	NA	1	54
28	BG001	16	1	BG001-9-10	nat	ass map	control	BT 12.6	9	10	0	0	0	y	1	20.3	20.3	NA	95	FLR PURPLE	0.6	3.474	2010-10-15	80	6	13.1	4	16	15.1	4.3	9/3/2010	9/10/2010	pale purple	NA	NA	NA	38	NA	BOLTED ONEPFIVE	NA	NA	43.3819444444444	28.4575	0	1	41
29	BG001	22	35	BG001-17-1	nat	ass map	control		17	1	7	25.8	5.9	y	1	38.5	38.5	NA	25		1.1	4.909	2010-10-21	86	23	16.7	3.9	18	12.5	3.1	9/30/2010			0.12	25.147	10/15/2010	65	NA		NA	209.558333333333	43.3819444444444	28.4575	152.22	1	68
30	BG001	21	47	BG001-9-6	nat	ass map	control	BLT 25.5	9	6	0	0	0	y	1	28	28	NA	220	FLR LIGHT PRPL	0.5	4.187	2010-10-21	86	3	14.1	3.1	14	17.2	4.7	8/9/2010	9/10/2010	light purple	NA	NA	NA	13	NA		NA	NA	43.3819444444444	28.4575	0	1	16
31	BG001	18	3	BG001-5-2	nat	ass map	control		5	2	12	23.9	5.1	y	1	32.5	32.5	NA	18		0.85	4.266	2010-10-20	85	19	13.7	4.5	16	10.6	3.2	9/30/2010			0.083	16.693	10/18/2010	65	NA		NA	201.120481927711	43.3819444444444	28.4575	121.89	1	68
32	CA001	14	18	CA001-4-6	inv	ass map	control		4	6	25	21.1	3	y	1	33.5	33.5	NA	10		1.2	4.771	2010-10-19	84	24	18.6	3.4	17	14.8	3.9	9/30/2010			0.082	NA	10/14/2010	65	NA		NA	NA	49.0149388888889	-122.882097222222	63.3	1	68
33	CA001	7	12	CA001-8-24	inv	mat fx	control		8	24	23	20.4	3.4	n	NA	NA	NA	NA	NA		0.9	4.371	2010-10-21	86	15	18.9	4.6	13	16.2	3.6				0.173	NA	10/18/2010	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	69.36	0	NA
34	CA001	6	12	CA001-14-1	inv	mat fx	control		14	1	18	26.4	4.8	n	NA	NA	NA	NA	NA		0.8	4.045	2010-10-19	84	13	12.6	5	14	12.7	2.6				0.188	25.611	10/19/2010	NA	NA	NA	NA	136.228723404255	49.0149388888889	-122.882097222222	126.72	0	NA
35	CA001	12	15	CA001-20-12	inv	ass map	control		20	12	34	0	0	n	NA	0	0	NA	0		0.7	NA	2010-10-19	84	17	0	0	13	14	3.5				NA	21.315	9/28/2010	NA	NA		NA	NA	49.0149388888889	-122.882097222222	0	0	NA
36	CA001	17	14	CA001-12-2	inv	ass map	control		12	2	19	26.3	3.9	n	NA	NA	NA	NA	NA		0.8	3.935	2010-10-20	85	10	27.4	4	8	15.9	2.8				0.237	33.118	9/28/2010	NA	NA		NA	139.738396624473	49.0149388888889	-122.882097222222	102.57	0	NA
37	CA001	15	10	CA001-11-9	inv	ass map	control		11	9	34	18.6	4.1	n	NA	NA	NA	NA	NA		0.7	3.785	2010-10-21	86	13	15.8	3.8	12	16.5	3.6				0.099	17.137	10/18/2010	NA	NA		NA	173.10101010101	49.0149388888889	-122.882097222222	76.26	0	NA
38	CA001	7	18	CA001-9-5	inv	mat fx	control		9	5	28	22.1	4.4	n	NA	NA	NA	NA	NA		1	4.041	2010-10-21	86	10	19.4	4	12	14.7	3.6				0.112	19.991	10/18/2010	NA	NA	NA	NA	178.491071428571	49.0149388888889	-122.882097222222	97.24	0	NA
39	CA001	7	29	CA001-13-1	inv	mat fx	control		13	1	22	26	3.8	n	NA	NA	NA	NA	NA		0.5	3.77	2010-10-21	86	NA	NA	NA	10	21	4.3				0.117	16.606	10/18/2010	NA	NA	NA	NA	141.931623931624	49.0149388888889	-122.882097222222	98.8	0	NA
40	CA001	19	3	CA001-15-2	inv	ass map	control		15	2	20	22.3	4.1	n	NA	NA	NA	NA	NA		0.8	3.818	2010-10-21	86	11	21.4	3.7	14	15.4	3.6				0.134	NA	10/14/2010	NA	NA		NA	NA	49.0149388888889	-122.882097222222	91.43	0	NA
41	CA001	19	1	CA001-8-23	inv	ass map	control		8	23	27	19.9	4.8	n	NA	NA	NA	NA	NA		0.95	3.285	2010-10-21	86	12	27.2	6.5	10	18.8	5.3				0.135	28.41	10/14/2010	NA	NA		NA	210.444444444444	49.0149388888889	-122.882097222222	95.52	0	NA
42	CA001	22	9	CA001-5-18	inv	ass map	control		5	18	12	25.9	4.7	n	NA	NA	NA	NA	NA		0.8	3.973	2010-10-21	86	12	20.6	5.3	11	17.6	5.5				0.218	34.583	10/15/2010	NA	NA		NA	158.637614678899	49.0149388888889	-122.882097222222	121.73	0	NA
